paper,rating,title,date,duration,genre,nationality,direction,actors
20 Minutes,Très bien,#Chef,2014-10-29,114,Drame,américain,De Jon Favreau,"Avec Jon Favreau, John Leguizamo, Sofia Vergara"
Closer,Très bien,#Chef,2014-10-29,114,Drame,américain,De Jon Favreau,"Avec Jon Favreau, John Leguizamo, Sofia Vergara"
Le Dauphiné Libéré,Très bien,#Chef,2014-10-29,114,Drame,américain,De Jon Favreau,"Avec Jon Favreau, John Leguizamo, Sofia Vergara"
Le Parisien,Très bien,#Chef,2014-10-29,114,Drame,américain,De Jon Favreau,"Avec Jon Favreau, John Leguizamo, Sofia Vergara"
Metro,Très bien,#Chef,2014-10-29,114,Drame,américain,De Jon Favreau,"Avec Jon Favreau, John Leguizamo, Sofia Vergara"
Paris Match,Très bien,#Chef,2014-10-29,114,Drame,américain,De Jon Favreau,"Avec Jon Favreau, John Leguizamo, Sofia Vergara"
CinemaTeaser,Pas mal,#Chef,2014-10-29,114,Drame,américain,De Jon Favreau,"Avec Jon Favreau, John Leguizamo, Sofia Vergara"
Ecran Large,Pas mal,#Chef,2014-10-29,114,Drame,américain,De Jon Favreau,"Avec Jon Favreau, John Leguizamo, Sofia Vergara"
Femme Actuelle,Pas mal,#Chef,2014-10-29,114,Drame,américain,De Jon Favreau,"Avec Jon Favreau, John Leguizamo, Sofia Vergara"
Libération,Pas mal,#Chef,2014-10-29,114,Drame,américain,De Jon Favreau,"Avec Jon Favreau, John Leguizamo, Sofia Vergara"
Positif,Pas mal,#Chef,2014-10-29,114,Drame,américain,De Jon Favreau,"Avec Jon Favreau, John Leguizamo, Sofia Vergara"
Télérama,Pas mal,#Chef,2014-10-29,114,Drame,américain,De Jon Favreau,"Avec Jon Favreau, John Leguizamo, Sofia Vergara"
Critikat.com,Pas terrible,#Chef,2014-10-29,114,Drame,américain,De Jon Favreau,"Avec Jon Favreau, John Leguizamo, Sofia Vergara"
La Croix,Pas terrible,#Chef,2014-10-29,114,Drame,américain,De Jon Favreau,"Avec Jon Favreau, John Leguizamo, Sofia Vergara"
Les Fiches du Cinéma,Pas terrible,#Chef,2014-10-29,114,Drame,américain,De Jon Favreau,"Avec Jon Favreau, John Leguizamo, Sofia Vergara"
Ouest France,Pas terrible,#Chef,2014-10-29,114,Drame,américain,De Jon Favreau,"Avec Jon Favreau, John Leguizamo, Sofia Vergara"
Première,Pas terrible,#Chef,2014-10-29,114,Drame,américain,De Jon Favreau,"Avec Jon Favreau, John Leguizamo, Sofia Vergara"
TF1 News,Pas terrible,#Chef,2014-10-29,114,Drame,américain,De Jon Favreau,"Avec Jon Favreau, John Leguizamo, Sofia Vergara"
aVoir-aLire.com,Pas terrible,#Chef,2014-10-29,114,Drame,américain,De Jon Favreau,"Avec Jon Favreau, John Leguizamo, Sofia Vergara"
Les Inrockuptibles,Très mauvais,#Chef,2014-10-29,114,Drame,américain,De Jon Favreau,"Avec Jon Favreau, John Leguizamo, Sofia Vergara"
Studio Ciné Live,Très mauvais,#Chef,2014-10-29,114,Drame,américain,De Jon Favreau,"Avec Jon Favreau, John Leguizamo, Sofia Vergara"
Télérama,Très bien,10.000 Km,2015-04-29,99,Comédie,espagnol,De Carlos Marques-Marcet,"Avec Natalia Tena, David Verdaguer"
aVoir-aLire.com,Très bien,10.000 Km,2015-04-29,99,Comédie,espagnol,De Carlos Marques-Marcet,"Avec Natalia Tena, David Verdaguer"
Critikat.com,Pas mal,10.000 Km,2015-04-29,99,Comédie,espagnol,De Carlos Marques-Marcet,"Avec Natalia Tena, David Verdaguer"
Le Monde,Pas mal,10.000 Km,2015-04-29,99,Comédie,espagnol,De Carlos Marques-Marcet,"Avec Natalia Tena, David Verdaguer"
Première,Pas mal,10.000 Km,2015-04-29,99,Comédie,espagnol,De Carlos Marques-Marcet,"Avec Natalia Tena, David Verdaguer"
Studio Ciné Live,Pas mal,10.000 Km,2015-04-29,99,Comédie,espagnol,De Carlos Marques-Marcet,"Avec Natalia Tena, David Verdaguer"
L'Humanité,Pas terrible,10.000 Km,2015-04-29,99,Comédie,espagnol,De Carlos Marques-Marcet,"Avec Natalia Tena, David Verdaguer"
Le Nouvel Observateur,Pas terrible,10.000 Km,2015-04-29,99,Comédie,espagnol,De Carlos Marques-Marcet,"Avec Natalia Tena, David Verdaguer"
Le Parisien,Pas terrible,10.000 Km,2015-04-29,99,Comédie,espagnol,De Carlos Marques-Marcet,"Avec Natalia Tena, David Verdaguer"
Les Inrockuptibles,Pas terrible,10.000 Km,2015-04-29,99,Comédie,espagnol,De Carlos Marques-Marcet,"Avec Natalia Tena, David Verdaguer"
20 Minutes,Très bien,1001 grammes,2015-03-11,93,Drame,norvégien,De Bent Hamer,"Avec Ane Dahl Torp, Laurent Stocker, Hildegun Riise"
La Croix,Très bien,1001 grammes,2015-03-11,93,Drame,norvégien,De Bent Hamer,"Avec Ane Dahl Torp, Laurent Stocker, Hildegun Riise"
Positif,Très bien,1001 grammes,2015-03-11,93,Drame,norvégien,De Bent Hamer,"Avec Ane Dahl Torp, Laurent Stocker, Hildegun Riise"
aVoir-aLire.com,Très bien,1001 grammes,2015-03-11,93,Drame,norvégien,De Bent Hamer,"Avec Ane Dahl Torp, Laurent Stocker, Hildegun Riise"
Critikat.com,Pas mal,1001 grammes,2015-03-11,93,Drame,norvégien,De Bent Hamer,"Avec Ane Dahl Torp, Laurent Stocker, Hildegun Riise"
Culturopoing.com,Pas mal,1001 grammes,2015-03-11,93,Drame,norvégien,De Bent Hamer,"Avec Ane Dahl Torp, Laurent Stocker, Hildegun Riise"
