paper,rating,title,date,duration,genre,nationality,direction,actors
Ciné Live,Très bien,1 duplex pour 3,2004-07-07,89,Comédie,américain,De Danny DeVito,"Avec Ben Stiller, Drew Barrymore, Eileen Essell"
Le Monde,Très bien,1 duplex pour 3,2004-07-07,89,Comédie,américain,De Danny DeVito,"Avec Ben Stiller, Drew Barrymore, Eileen Essell"
MCinéma.com,Très bien,1 duplex pour 3,2004-07-07,89,Comédie,américain,De Danny DeVito,"Avec Ben Stiller, Drew Barrymore, Eileen Essell"
Première,Très bien,1 duplex pour 3,2004-07-07,89,Comédie,américain,De Danny DeVito,"Avec Ben Stiller, Drew Barrymore, Eileen Essell"
Cahiers du Cinéma,Pas mal,1 duplex pour 3,2004-07-07,89,Comédie,américain,De Danny DeVito,"Avec Ben Stiller, Drew Barrymore, Eileen Essell"
Chronic'art.com,Pas mal,1 duplex pour 3,2004-07-07,89,Comédie,américain,De Danny DeVito,"Avec Ben Stiller, Drew Barrymore, Eileen Essell"
Les Inrockuptibles,Pas mal,1 duplex pour 3,2004-07-07,89,Comédie,américain,De Danny DeVito,"Avec Ben Stiller, Drew Barrymore, Eileen Essell"
Studio Magazine,Pas mal,1 duplex pour 3,2004-07-07,89,Comédie,américain,De Danny DeVito,"Avec Ben Stiller, Drew Barrymore, Eileen Essell"
TéléCinéObs,Pas mal,1 duplex pour 3,2004-07-07,89,Comédie,américain,De Danny DeVito,"Avec Ben Stiller, Drew Barrymore, Eileen Essell"
aVoir-aLire.com,Pas mal,1 duplex pour 3,2004-07-07,89,Comédie,américain,De Danny DeVito,"Avec Ben Stiller, Drew Barrymore, Eileen Essell"
Télérama,Pas terrible,1 duplex pour 3,2004-07-07,89,Comédie,américain,De Danny DeVito,"Avec Ben Stiller, Drew Barrymore, Eileen Essell"
Aden,Chef-d'oeuvre,10e chambre – Instants d'audience,2004-06-02,105,Documentaire,français,De Raymond Depardon,NA
L'Humanité,Chef-d'oeuvre,10e chambre – Instants d'audience,2004-06-02,105,Documentaire,français,De Raymond Depardon,NA
Le Monde,Chef-d'oeuvre,10e chambre – Instants d'audience,2004-06-02,105,Documentaire,français,De Raymond Depardon,NA
Les Inrockuptibles,Chef-d'oeuvre,10e chambre – Instants d'audience,2004-06-02,105,Documentaire,français,De Raymond Depardon,NA
Télérama,Chef-d'oeuvre,10e chambre – Instants d'audience,2004-06-02,105,Documentaire,français,De Raymond Depardon,NA
Zurban,Chef-d'oeuvre,10e chambre – Instants d'audience,2004-06-02,105,Documentaire,français,De Raymond Depardon,NA
Chronic'art.com,Très bien,10e chambre – Instants d'audience,2004-06-02,105,Documentaire,français,De Raymond Depardon,NA
Ciné Live,Très bien,10e chambre – Instants d'audience,2004-06-02,105,Documentaire,français,De Raymond Depardon,NA
L'Express,Très bien,10e chambre – Instants d'audience,2004-06-02,105,Documentaire,français,De Raymond Depardon,NA
Le Figaro,Très bien,10e chambre – Instants d'audience,2004-06-02,105,Documentaire,français,De Raymond Depardon,NA
Le Nouvel Observateur,Très bien,10e chambre – Instants d'audience,2004-06-02,105,Documentaire,français,De Raymond Depardon,NA
Libération,Très bien,10e chambre – Instants d'audience,2004-06-02,105,Documentaire,français,De Raymond Depardon,NA
Première,Très bien,10e chambre – Instants d'audience,2004-06-02,105,Documentaire,français,De Raymond Depardon,NA
aVoir-aLire.com,Chef-d'oeuvre,11 : 14 onze heures quatorze,2004-12-01,95,Comédie,américain,De Greg Marcks,"Avec Hilary Swank, Patrick Swayze, Barbara Hershey"
Ciné Live,Très bien,11 : 14 onze heures quatorze,2004-12-01,95,Comédie,américain,De Greg Marcks,"Avec Hilary Swank, Patrick Swayze, Barbara Hershey"
Paris Match,Très bien,11 : 14 onze heures quatorze,2004-12-01,95,Comédie,américain,De Greg Marcks,"Avec Hilary Swank, Patrick Swayze, Barbara Hershey"
Zurban,Très bien,11 : 14 onze heures quatorze,2004-12-01,95,Comédie,américain,De Greg Marcks,"Avec Hilary Swank, Patrick Swayze, Barbara Hershey"
Chronic'art.com,Pas mal,11 : 14 onze heures quatorze,2004-12-01,95,Comédie,américain,De Greg Marcks,"Avec Hilary Swank, Patrick Swayze, Barbara Hershey"
L'Express,Pas mal,11 : 14 onze heures quatorze,2004-12-01,95,Comédie,américain,De Greg Marcks,"Avec Hilary Swank, Patrick Swayze, Barbara Hershey"
Les Inrockuptibles,Pas mal,11 : 14 onze heures quatorze,2004-12-01,95,Comédie,américain,De Greg Marcks,"Avec Hilary Swank, Patrick Swayze, Barbara Hershey"
MCinéma.com,Pas mal,11 : 14 onze heures quatorze,2004-12-01,95,Comédie,américain,De Greg Marcks,"Avec Hilary Swank, Patrick Swayze, Barbara Hershey"
Studio Magazine,Pas mal,11 : 14 onze heures quatorze,2004-12-01,95,Comédie,américain,De Greg Marcks,"Avec Hilary Swank, Patrick Swayze, Barbara Hershey"
TéléCinéObs,Pas mal,11 : 14 onze heures quatorze,2004-12-01,95,Comédie,américain,De Greg Marcks,"Avec Hilary Swank, Patrick Swayze, Barbara Hershey"
Télérama,Pas mal,11 : 14 onze heures quatorze,2004-12-01,95,Comédie,américain,De Greg Marcks,"Avec Hilary Swank, Patrick Swayze, Barbara Hershey"
Aden,Pas terrible,11 : 14 onze heures quatorze,2004-12-01,95,Comédie,américain,De Greg Marcks,"Avec Hilary Swank, Patrick Swayze, Barbara Hershey"
Cahiers du Cinéma,Pas terrible,11 : 14 onze heures quatorze,2004-12-01,95,Comédie,américain,De Greg Marcks,"Avec Hilary Swank, Patrick Swayze, Barbara Hershey"
L'Humanité,Pas terrible,11 : 14 onze heures quatorze,2004-12-01,95,Comédie,américain,De Greg Marcks,"Avec Hilary Swank, Patrick Swayze, Barbara Hershey"
Le Figaroscope,Pas terrible,11 : 14 onze heures quatorze,2004-12-01,95,Comédie,américain,De Greg Marcks,"Avec Hilary Swank, Patrick Swayze, Barbara Hershey"
Le Monde,Pas terrible,11 : 14 onze heures quatorze,2004-12-01,95,Comédie,américain,De Greg Marcks,"Avec Hilary Swank, Patrick Swayze, Barbara Hershey"
Le Figaroscope,Très bien,18 ans après,2003-02-05,90,Comédie,français,De Coline Serreau,"Avec Madeleine Besson, Roland Giraud, Michel Boujenah"
Le Parisien,Très bien,18 ans après,2003-02-05,90,Comédie,français,De Coline Serreau,"Avec Madeleine Besson, Roland Giraud, Michel Boujenah"
Studio Magazine,Très bien,18 ans après,2003-02-05,90,Comédie,français,De Coline Serreau,"Avec Madeleine Besson, Roland Giraud, Michel Boujenah"
Le Figaro,Pas mal,18 ans après,2003-02-05,90,Comédie,français,De Coline Serreau,"Avec Madeleine Besson, Roland Giraud, Michel Boujenah"
Ciné Live,Pas terrible,18 ans après,2003-02-05,90,Comédie,français,De Coline Serreau,"Avec Madeleine Besson, Roland Giraud, Michel Boujenah"
L'Express,Pas terrible,18 ans après,2003-02-05,90,Comédie,français,De Coline Serreau,"Avec Madeleine Besson, Roland Giraud, Michel Boujenah"
Libération,Pas terrible,18 ans après,2003-02-05,90,Comédie,français,De Coline Serreau,"Avec Madeleine Besson, Roland Giraud, Michel Boujenah"
Télérama,Pas terrible,18 ans après,2003-02-05,90,Comédie,français,De Coline Serreau,"Avec Madeleine Besson, Roland Giraud, Michel Boujenah"
