paper,rating,title,date,duration,genre,nationality,direction,actors
Brazil,Chef-d'oeuvre,12 and Holding,2006-09-20,94,Drame,américain,De Michael Cuesta,"Avec Conor Donovan, Jesse Camacho, Jeremy Renner"
Les Inrockuptibles,Chef-d'oeuvre,12 and Holding,2006-09-20,94,Drame,américain,De Michael Cuesta,"Avec Conor Donovan, Jesse Camacho, Jeremy Renner"
MCinéma.com,Chef-d'oeuvre,12 and Holding,2006-09-20,94,Drame,américain,De Michael Cuesta,"Avec Conor Donovan, Jesse Camacho, Jeremy Renner"
Ouest France,Chef-d'oeuvre,12 and Holding,2006-09-20,94,Drame,américain,De Michael Cuesta,"Avec Conor Donovan, Jesse Camacho, Jeremy Renner"
aVoir-aLire.com,Chef-d'oeuvre,12 and Holding,2006-09-20,94,Drame,américain,De Michael Cuesta,"Avec Conor Donovan, Jesse Camacho, Jeremy Renner"
Elle,Très bien,12 and Holding,2006-09-20,94,Drame,américain,De Michael Cuesta,"Avec Conor Donovan, Jesse Camacho, Jeremy Renner"
Le Figaroscope,Très bien,12 and Holding,2006-09-20,94,Drame,américain,De Michael Cuesta,"Avec Conor Donovan, Jesse Camacho, Jeremy Renner"
Le Journal du Dimanche,Très bien,12 and Holding,2006-09-20,94,Drame,américain,De Michael Cuesta,"Avec Conor Donovan, Jesse Camacho, Jeremy Renner"
Le Point,Très bien,12 and Holding,2006-09-20,94,Drame,américain,De Michael Cuesta,"Avec Conor Donovan, Jesse Camacho, Jeremy Renner"
Paris Match,Très bien,12 and Holding,2006-09-20,94,Drame,américain,De Michael Cuesta,"Avec Conor Donovan, Jesse Camacho, Jeremy Renner"
Positif,Très bien,12 and Holding,2006-09-20,94,Drame,américain,De Michael Cuesta,"Avec Conor Donovan, Jesse Camacho, Jeremy Renner"
Studio Magazine,Très bien,12 and Holding,2006-09-20,94,Drame,américain,De Michael Cuesta,"Avec Conor Donovan, Jesse Camacho, Jeremy Renner"
Télérama,Très bien,12 and Holding,2006-09-20,94,Drame,américain,De Michael Cuesta,"Avec Conor Donovan, Jesse Camacho, Jeremy Renner"
Ciné Live,Pas mal,12 and Holding,2006-09-20,94,Drame,américain,De Michael Cuesta,"Avec Conor Donovan, Jesse Camacho, Jeremy Renner"
L'Humanité,Pas mal,12 and Holding,2006-09-20,94,Drame,américain,De Michael Cuesta,"Avec Conor Donovan, Jesse Camacho, Jeremy Renner"
Le Monde,Pas mal,12 and Holding,2006-09-20,94,Drame,américain,De Michael Cuesta,"Avec Conor Donovan, Jesse Camacho, Jeremy Renner"
Libération,Pas mal,12 and Holding,2006-09-20,94,Drame,américain,De Michael Cuesta,"Avec Conor Donovan, Jesse Camacho, Jeremy Renner"
Première,Pas mal,12 and Holding,2006-09-20,94,Drame,américain,De Michael Cuesta,"Avec Conor Donovan, Jesse Camacho, Jeremy Renner"
TéléCinéObs,Pas mal,12 and Holding,2006-09-20,94,Drame,américain,De Michael Cuesta,"Avec Conor Donovan, Jesse Camacho, Jeremy Renner"
Chronic'art.com,Pas terrible,12 and Holding,2006-09-20,94,Drame,américain,De Michael Cuesta,"Avec Conor Donovan, Jesse Camacho, Jeremy Renner"
L'Express,Pas terrible,12 and Holding,2006-09-20,94,Drame,américain,De Michael Cuesta,"Avec Conor Donovan, Jesse Camacho, Jeremy Renner"
Score,Pas terrible,12 and Holding,2006-09-20,94,Drame,américain,De Michael Cuesta,"Avec Conor Donovan, Jesse Camacho, Jeremy Renner"
Cahiers du Cinéma,Très mauvais,12 and Holding,2006-09-20,94,Drame,américain,De Michael Cuesta,"Avec Conor Donovan, Jesse Camacho, Jeremy Renner"
Le Monde,Chef-d'oeuvre,13 Tzameti,2006-02-08,93,Thriller,français,De Gela Babluani,"Avec Georges Babluani, Aurélien Recoing, Pascal Bongard"
Rolling Stone,Chef-d'oeuvre,13 Tzameti,2006-02-08,93,Thriller,français,De Gela Babluani,"Avec Georges Babluani, Aurélien Recoing, Pascal Bongard"
