paper,rating,title,date,duration,genre,nationality,direction,actors
L'Humanité,Très bien,(Entre nous),2002-04-10,82,Drame,français,De Serge Lalou,"Avec Bruno Putzulu, Emmanuelle Grangé, Emilie Lafarge"
Le Monde,Très bien,(Entre nous),2002-04-10,82,Drame,français,De Serge Lalou,"Avec Bruno Putzulu, Emmanuelle Grangé, Emilie Lafarge"
Les Inrockuptibles,Très bien,(Entre nous),2002-04-10,82,Drame,français,De Serge Lalou,"Avec Bruno Putzulu, Emmanuelle Grangé, Emilie Lafarge"
Synopsis,Très bien,(Entre nous),2002-04-10,82,Drame,français,De Serge Lalou,"Avec Bruno Putzulu, Emmanuelle Grangé, Emilie Lafarge"
Zurban,Très bien,(Entre nous),2002-04-10,82,Drame,français,De Serge Lalou,"Avec Bruno Putzulu, Emmanuelle Grangé, Emilie Lafarge"
Ciné Live,Pas terrible,(Entre nous),2002-04-10,82,Drame,français,De Serge Lalou,"Avec Bruno Putzulu, Emmanuelle Grangé, Emilie Lafarge"
L'Express,Pas terrible,(Entre nous),2002-04-10,82,Drame,français,De Serge Lalou,"Avec Bruno Putzulu, Emmanuelle Grangé, Emilie Lafarge"
MCinéma.com,Pas terrible,(Entre nous),2002-04-10,82,Drame,français,De Serge Lalou,"Avec Bruno Putzulu, Emmanuelle Grangé, Emilie Lafarge"
Positif,Pas terrible,(Entre nous),2002-04-10,82,Drame,français,De Serge Lalou,"Avec Bruno Putzulu, Emmanuelle Grangé, Emilie Lafarge"
Première,Pas terrible,(Entre nous),2002-04-10,82,Drame,français,De Serge Lalou,"Avec Bruno Putzulu, Emmanuelle Grangé, Emilie Lafarge"
Studio Magazine,Pas terrible,(Entre nous),2002-04-10,82,Drame,français,De Serge Lalou,"Avec Bruno Putzulu, Emmanuelle Grangé, Emilie Lafarge"
Télérama,Pas terrible,(Entre nous),2002-04-10,82,Drame,français,De Serge Lalou,"Avec Bruno Putzulu, Emmanuelle Grangé, Emilie Lafarge"
Cine Libre,Pas mal,13 fantômes,2002-01-16,91,Fantastique,américain,De Steve Beck,"Avec Shannon Elizabeth, Tony Shalhoub, F. Murray Abraham"
Ciné Live,Pas mal,13 fantômes,2002-01-16,91,Fantastique,américain,De Steve Beck,"Avec Shannon Elizabeth, Tony Shalhoub, F. Murray Abraham"
Le Figaro,Pas mal,13 fantômes,2002-01-16,91,Fantastique,américain,De Steve Beck,"Avec Shannon Elizabeth, Tony Shalhoub, F. Murray Abraham"
Zurban,Pas mal,13 fantômes,2002-01-16,91,Fantastique,américain,De Steve Beck,"Avec Shannon Elizabeth, Tony Shalhoub, F. Murray Abraham"
Aden,Pas terrible,13 fantômes,2002-01-16,91,Fantastique,américain,De Steve Beck,"Avec Shannon Elizabeth, Tony Shalhoub, F. Murray Abraham"
Chronic'art.com,Pas terrible,13 fantômes,2002-01-16,91,Fantastique,américain,De Steve Beck,"Avec Shannon Elizabeth, Tony Shalhoub, F. Murray Abraham"
Cinopsis.com,Pas terrible,13 fantômes,2002-01-16,91,Fantastique,américain,De Steve Beck,"Avec Shannon Elizabeth, Tony Shalhoub, F. Murray Abraham"
L'Express,Pas terrible,13 fantômes,2002-01-16,91,Fantastique,américain,De Steve Beck,"Avec Shannon Elizabeth, Tony Shalhoub, F. Murray Abraham"
Les Inrockuptibles,Pas terrible,13 fantômes,2002-01-16,91,Fantastique,américain,De Steve Beck,"Avec Shannon Elizabeth, Tony Shalhoub, F. Murray Abraham"
MCinéma.com,Pas terrible,13 fantômes,2002-01-16,91,Fantastique,américain,De Steve Beck,"Avec Shannon Elizabeth, Tony Shalhoub, F. Murray Abraham"
Novaplanet.com,Pas terrible,13 fantômes,2002-01-16,91,Fantastique,américain,De Steve Beck,"Avec Shannon Elizabeth, Tony Shalhoub, F. Murray Abraham"
Première,Pas terrible,13 fantômes,2002-01-16,91,Fantastique,américain,De Steve Beck,"Avec Shannon Elizabeth, Tony Shalhoub, F. Murray Abraham"
TéléCinéObs,Pas terrible,13 fantômes,2002-01-16,91,Fantastique,américain,De Steve Beck,"Avec Shannon Elizabeth, Tony Shalhoub, F. Murray Abraham"
Urbuz,Pas terrible,13 fantômes,2002-01-16,91,Fantastique,américain,De Steve Beck,"Avec Shannon Elizabeth, Tony Shalhoub, F. Murray Abraham"
Le Figaro Magazine,Très bien,15 minutes,2001-04-04,120,Thriller,allemand,De John Herzfeld,"Avec Roseanne Barr, Robert De Niro, Edward Burns"
Le Figaroscope,Très bien,15 minutes,2001-04-04,120,Thriller,allemand,De John Herzfeld,"Avec Roseanne Barr, Robert De Niro, Edward Burns"
Le Parisien,Très bien,15 minutes,2001-04-04,120,Thriller,allemand,De John Herzfeld,"Avec Roseanne Barr, Robert De Niro, Edward Burns"
Le Point,Très bien,15 minutes,2001-04-04,120,Thriller,allemand,De John Herzfeld,"Avec Roseanne Barr, Robert De Niro, Edward Burns"
MCinéma.com,Très bien,15 minutes,2001-04-04,120,Thriller,allemand,De John Herzfeld,"Avec Roseanne Barr, Robert De Niro, Edward Burns"
Aden,Pas mal,15 minutes,2001-04-04,120,Thriller,allemand,De John Herzfeld,"Avec Roseanne Barr, Robert De Niro, Edward Burns"
Chronic'art.com,Pas mal,15 minutes,2001-04-04,120,Thriller,allemand,De John Herzfeld,"Avec Roseanne Barr, Robert De Niro, Edward Burns"
Cinopsis.com,Pas mal,15 minutes,2001-04-04,120,Thriller,allemand,De John Herzfeld,"Avec Roseanne Barr, Robert De Niro, Edward Burns"
Le Journal du Dimanche,Pas mal,15 minutes,2001-04-04,120,Thriller,allemand,De John Herzfeld,"Avec Roseanne Barr, Robert De Niro, Edward Burns"
Les Echos,Pas mal,15 minutes,2001-04-04,120,Thriller,allemand,De John Herzfeld,"Avec Roseanne Barr, Robert De Niro, Edward Burns"
Positif,Pas mal,15 minutes,2001-04-04,120,Thriller,allemand,De John Herzfeld,"Avec Roseanne Barr, Robert De Niro, Edward Burns"
