paper,rating,title,date,duration,genre,nationality,direction,actors
Télé 7 Jours,Très bien,10 jours en or,2012-01-11,95,Comédie dramatique,français,De Nicolas Brossette,"Avec Franck Dubosc, Claude Rich, Marie Kremer"
Ecran Large,Pas mal,10 jours en or,2012-01-11,95,Comédie dramatique,français,De Nicolas Brossette,"Avec Franck Dubosc, Claude Rich, Marie Kremer"
Excessif,Pas mal,10 jours en or,2012-01-11,95,Comédie dramatique,français,De Nicolas Brossette,"Avec Franck Dubosc, Claude Rich, Marie Kremer"
Le Monde,Pas mal,10 jours en or,2012-01-11,95,Comédie dramatique,français,De Nicolas Brossette,"Avec Franck Dubosc, Claude Rich, Marie Kremer"
Le Parisien,Pas mal,10 jours en or,2012-01-11,95,Comédie dramatique,français,De Nicolas Brossette,"Avec Franck Dubosc, Claude Rich, Marie Kremer"
Les Fiches du Cinéma,Pas mal,10 jours en or,2012-01-11,95,Comédie dramatique,français,De Nicolas Brossette,"Avec Franck Dubosc, Claude Rich, Marie Kremer"
Le Figaroscope,Pas terrible,10 jours en or,2012-01-11,95,Comédie dramatique,français,De Nicolas Brossette,"Avec Franck Dubosc, Claude Rich, Marie Kremer"
Le Journal du Dimanche,Pas terrible,10 jours en or,2012-01-11,95,Comédie dramatique,français,De Nicolas Brossette,"Avec Franck Dubosc, Claude Rich, Marie Kremer"
Metro,Pas terrible,10 jours en or,2012-01-11,95,Comédie dramatique,français,De Nicolas Brossette,"Avec Franck Dubosc, Claude Rich, Marie Kremer"
Ouest France,Pas terrible,10 jours en or,2012-01-11,95,Comédie dramatique,français,De Nicolas Brossette,"Avec Franck Dubosc, Claude Rich, Marie Kremer"
Première,Pas terrible,10 jours en or,2012-01-11,95,Comédie dramatique,français,De Nicolas Brossette,"Avec Franck Dubosc, Claude Rich, Marie Kremer"
Studio Ciné Live,Pas terrible,10 jours en or,2012-01-11,95,Comédie dramatique,français,De Nicolas Brossette,"Avec Franck Dubosc, Claude Rich, Marie Kremer"
Télérama,Pas terrible,10 jours en or,2012-01-11,95,Comédie dramatique,français,De Nicolas Brossette,"Avec Franck Dubosc, Claude Rich, Marie Kremer"
TéléCinéObs,Très mauvais,10 jours en or,2012-01-11,95,Comédie dramatique,français,De Nicolas Brossette,"Avec Franck Dubosc, Claude Rich, Marie Kremer"
L'Express,Très bien,"10, 11, 12... Pougne le hérisson",2012-10-24,48,Animation,français,"De Iouri Tcherenkov, Alexandra Condoure, Antoine Lanciaux ...",NA
Le Monde,Très bien,"10, 11, 12... Pougne le hérisson",2012-10-24,48,Animation,français,"De Iouri Tcherenkov, Alexandra Condoure, Antoine Lanciaux ...",NA
Les Fiches du Cinéma,Très bien,"10, 11, 12... Pougne le hérisson",2012-10-24,48,Animation,français,"De Iouri Tcherenkov, Alexandra Condoure, Antoine Lanciaux ...",NA
Télérama,Très bien,"10, 11, 12... Pougne le hérisson",2012-10-24,48,Animation,français,"De Iouri Tcherenkov, Alexandra Condoure, Antoine Lanciaux ...",NA
Studio Ciné Live,Pas mal,"10, 11, 12... Pougne le hérisson",2012-10-24,48,Animation,français,"De Iouri Tcherenkov, Alexandra Condoure, Antoine Lanciaux ...",NA
Les Fiches du Cinéma,Très bien,12 ans d'âge,2013-06-26,85,Comédie,français,De Frédéric Proust,"Avec François Berléand, Patrick Chesnais, Anne Consigny"
L'Express,Pas mal,12 ans d'âge,2013-06-26,85,Comédie,français,De Frédéric Proust,"Avec François Berléand, Patrick Chesnais, Anne Consigny"
Le Journal du Dimanche,Pas mal,12 ans d'âge,2013-06-26,85,Comédie,français,De Frédéric Proust,"Avec François Berléand, Patrick Chesnais, Anne Consigny"
Première,Pas mal,12 ans d'âge,2013-06-26,85,Comédie,français,De Frédéric Proust,"Avec François Berléand, Patrick Chesnais, Anne Consigny"
aVoir-aLire.com,Pas mal,12 ans d'âge,2013-06-26,85,Comédie,français,De Frédéric Proust,"Avec François Berléand, Patrick Chesnais, Anne Consigny"
La Croix,Pas terrible,12 ans d'âge,2013-06-26,85,Comédie,français,De Frédéric Proust,"Avec François Berléand, Patrick Chesnais, Anne Consigny"
Le Monde,Très mauvais,12 ans d'âge,2013-06-26,85,Comédie,français,De Frédéric Proust,"Avec François Berléand, Patrick Chesnais, Anne Consigny"
Studio Ciné Live,Très mauvais,12 ans d'âge,2013-06-26,85,Comédie,français,De Frédéric Proust,"Avec François Berléand, Patrick Chesnais, Anne Consigny"
TéléCinéObs,Très mauvais,12 ans d'âge,2013-06-26,85,Comédie,français,De Frédéric Proust,"Avec François Berléand, Patrick Chesnais, Anne Consigny"
Télérama,Très mauvais,12 ans d'âge,2013-06-26,85,Comédie,français,De Frédéric Proust,"Avec François Berléand, Patrick Chesnais, Anne Consigny"
Le Journal du Dimanche,Pas terrible,12 heures,2013-07-24,96,Action,américain,De Simon West,"Avec Nicolas Cage, Josh Lucas, Danny Huston"
Les Fiches du Cinéma,Pas terrible,12 heures,2013-07-24,96,Action,américain,De Simon West,"Avec Nicolas Cage, Josh Lucas, Danny Huston"
Ecran Large,Très mauvais,12 heures,2013-07-24,96,Action,américain,De Simon West,"Avec Nicolas Cage, Josh Lucas, Danny Huston"
Télérama,Très mauvais,12 heures,2013-07-24,96,Action,américain,De Simon West,"Avec Nicolas Cage, Josh Lucas, Danny Huston"
aVoir-aLire.com,Très mauvais,12 heures,2013-07-24,96,Action,américain,De Simon West,"Avec Nicolas Cage, Josh Lucas, Danny Huston"
TéléCinéObs,Pas mal,16 ans ou presque,2013-12-18,88,Comédie,français,De Tristan Séguéla,"Avec Laurent Lafitte, Christophe Malavoy, Judith El Zein"
Les Fiches du Cinéma,Pas terrible,16 ans ou presque,2013-12-18,88,Comédie,français,De Tristan Séguéla,"Avec Laurent Lafitte, Christophe Malavoy, Judith El Zein"
Marianne,Très mauvais,16 ans ou presque,2013-12-18,88,Comédie,français,De Tristan Séguéla,"Avec Laurent Lafitte, Christophe Malavoy, Judith El Zein"
Télérama,Très mauvais,16 ans ou presque,2013-12-18,88,Comédie,français,De Tristan Séguéla,"Avec Laurent Lafitte, Christophe Malavoy, Judith El Zein"
Les Inrockuptibles,Chef-d'oeuvre,2 Days In New York,2012-03-28,95,Romance,français,De Julie Delpy,"Avec Julie Delpy, Chris Rock, Albert Delpy"
Metro,Chef-d'oeuvre,2 Days In New York,2012-03-28,95,Romance,français,De Julie Delpy,"Avec Julie Delpy, Chris Rock, Albert Delpy"
Paris Match,Chef-d'oeuvre,2 Days In New York,2012-03-28,95,Romance,français,De Julie Delpy,"Avec Julie Delpy, Chris Rock, Albert Delpy"
