paper,rating,title,date,duration,genre,nationality,direction,actors
Le Figaroscope,Chef-d'oeuvre,12,2010-02-10,153,Drame,russe,De Nikita Mikhalkov,"Avec Sergey Makovezkij, Nikita Mikhalkov, Sergey Garmash"
Marianne,Chef-d'oeuvre,12,2010-02-10,153,Drame,russe,De Nikita Mikhalkov,"Avec Sergey Makovezkij, Nikita Mikhalkov, Sergey Garmash"
Metro,Chef-d'oeuvre,12,2010-02-10,153,Drame,russe,De Nikita Mikhalkov,"Avec Sergey Makovezkij, Nikita Mikhalkov, Sergey Garmash"
Télérama,Chef-d'oeuvre,12,2010-02-10,153,Drame,russe,De Nikita Mikhalkov,"Avec Sergey Makovezkij, Nikita Mikhalkov, Sergey Garmash"
Brazil,Très bien,12,2010-02-10,153,Drame,russe,De Nikita Mikhalkov,"Avec Sergey Makovezkij, Nikita Mikhalkov, Sergey Garmash"
Le Monde,Très bien,12,2010-02-10,153,Drame,russe,De Nikita Mikhalkov,"Avec Sergey Makovezkij, Nikita Mikhalkov, Sergey Garmash"
Positif,Très bien,12,2010-02-10,153,Drame,russe,De Nikita Mikhalkov,"Avec Sergey Makovezkij, Nikita Mikhalkov, Sergey Garmash"
Première,Très bien,12,2010-02-10,153,Drame,russe,De Nikita Mikhalkov,"Avec Sergey Makovezkij, Nikita Mikhalkov, Sergey Garmash"
20 Minutes,Pas mal,12,2010-02-10,153,Drame,russe,De Nikita Mikhalkov,"Avec Sergey Makovezkij, Nikita Mikhalkov, Sergey Garmash"
Excessif,Pas mal,12,2010-02-10,153,Drame,russe,De Nikita Mikhalkov,"Avec Sergey Makovezkij, Nikita Mikhalkov, Sergey Garmash"
L'Express,Pas mal,12,2010-02-10,153,Drame,russe,De Nikita Mikhalkov,"Avec Sergey Makovezkij, Nikita Mikhalkov, Sergey Garmash"
La Croix,Pas mal,12,2010-02-10,153,Drame,russe,De Nikita Mikhalkov,"Avec Sergey Makovezkij, Nikita Mikhalkov, Sergey Garmash"
Le Journal du Dimanche,Pas mal,12,2010-02-10,153,Drame,russe,De Nikita Mikhalkov,"Avec Sergey Makovezkij, Nikita Mikhalkov, Sergey Garmash"
Le Point,Pas mal,12,2010-02-10,153,Drame,russe,De Nikita Mikhalkov,"Avec Sergey Makovezkij, Nikita Mikhalkov, Sergey Garmash"
Ouest France,Pas mal,12,2010-02-10,153,Drame,russe,De Nikita Mikhalkov,"Avec Sergey Makovezkij, Nikita Mikhalkov, Sergey Garmash"
Studio Ciné Live,Pas mal,12,2010-02-10,153,Drame,russe,De Nikita Mikhalkov,"Avec Sergey Makovezkij, Nikita Mikhalkov, Sergey Garmash"
Cahiers du Cinéma,Pas terrible,12,2010-02-10,153,Drame,russe,De Nikita Mikhalkov,"Avec Sergey Makovezkij, Nikita Mikhalkov, Sergey Garmash"
Chronic'art.com,Pas terrible,12,2010-02-10,153,Drame,russe,De Nikita Mikhalkov,"Avec Sergey Makovezkij, Nikita Mikhalkov, Sergey Garmash"
Le Parisien,Très mauvais,12,2010-02-10,153,Drame,russe,De Nikita Mikhalkov,"Avec Sergey Makovezkij, Nikita Mikhalkov, Sergey Garmash"
Les Inrockuptibles,Très mauvais,12,2010-02-10,153,Drame,russe,De Nikita Mikhalkov,"Avec Sergey Makovezkij, Nikita Mikhalkov, Sergey Garmash"
Libération,Très mauvais,12,2010-02-10,153,Drame,russe,De Nikita Mikhalkov,"Avec Sergey Makovezkij, Nikita Mikhalkov, Sergey Garmash"
Télérama,Très mauvais,12,2010-02-10,153,Drame,russe,De Nikita Mikhalkov,"Avec Sergey Makovezkij, Nikita Mikhalkov, Sergey Garmash"
Le Monde,Chef-d'oeuvre,13m²,2007-06-20,84,Policier,français,De Barthélémy Grossmann,"Avec Barthélémy Grossmann, Lucien Jean-Baptiste, Youssef Hajdi"
L'Humanité,Très bien,13m²,2007-06-20,84,Policier,français,De Barthélémy Grossmann,"Avec Barthélémy Grossmann, Lucien Jean-Baptiste, Youssef Hajdi"
Le Figaro,Très bien,13m²,2007-06-20,84,Policier,français,De Barthélémy Grossmann,"Avec Barthélémy Grossmann, Lucien Jean-Baptiste, Youssef Hajdi"
Le Figaroscope,Très bien,13m²,2007-06-20,84,Policier,français,De Barthélémy Grossmann,"Avec Barthélémy Grossmann, Lucien Jean-Baptiste, Youssef Hajdi"
Le Parisien,Très bien,13m²,2007-06-20,84,Policier,français,De Barthélémy Grossmann,"Avec Barthélémy Grossmann, Lucien Jean-Baptiste, Youssef Hajdi"
Libération,Très bien,13m²,2007-06-20,84,Policier,français,De Barthélémy Grossmann,"Avec Barthélémy Grossmann, Lucien Jean-Baptiste, Youssef Hajdi"
Positif,Très bien,13m²,2007-06-20,84,Policier,français,De Barthélémy Grossmann,"Avec Barthélémy Grossmann, Lucien Jean-Baptiste, Youssef Hajdi"
TéléCinéObs,Très bien,13m²,2007-06-20,84,Policier,français,De Barthélémy Grossmann,"Avec Barthélémy Grossmann, Lucien Jean-Baptiste, Youssef Hajdi"
20 Minutes,Pas mal,13m²,2007-06-20,84,Policier,français,De Barthélémy Grossmann,"Avec Barthélémy Grossmann, Lucien Jean-Baptiste, Youssef Hajdi"
Le Journal du Dimanche,Pas mal,13m²,2007-06-20,84,Policier,français,De Barthélémy Grossmann,"Avec Barthélémy Grossmann, Lucien Jean-Baptiste, Youssef Hajdi"
Ouest France,Pas mal,13m²,2007-06-20,84,Policier,français,De Barthélémy Grossmann,"Avec Barthélémy Grossmann, Lucien Jean-Baptiste, Youssef Hajdi"
Paris Match,Pas mal,13m²,2007-06-20,84,Policier,français,De Barthélémy Grossmann,"Avec Barthélémy Grossmann, Lucien Jean-Baptiste, Youssef Hajdi"
Première,Pas mal,13m²,2007-06-20,84,Policier,français,De Barthélémy Grossmann,"Avec Barthélémy Grossmann, Lucien Jean-Baptiste, Youssef Hajdi"
Score,Pas mal,13m²,2007-06-20,84,Policier,français,De Barthélémy Grossmann,"Avec Barthélémy Grossmann, Lucien Jean-Baptiste, Youssef Hajdi"
MCinéma.com,Pas terrible,13m²,2007-06-20,84,Policier,français,De Barthélémy Grossmann,"Avec Barthélémy Grossmann, Lucien Jean-Baptiste, Youssef Hajdi"
aVoir-aLire.com,Pas terrible,13m²,2007-06-20,84,Policier,français,De Barthélémy Grossmann,"Avec Barthélémy Grossmann, Lucien Jean-Baptiste, Youssef Hajdi"
Brazil,Très bien,13th French Street,2007-11-28,90,Thriller,français,De Jean-Pierre Mocky,"Avec Tom Novembre, Thierry Frémont, Léa Seydoux"
Télérama,Pas mal,13th French Street,2007-11-28,90,Thriller,français,De Jean-Pierre Mocky,"Avec Tom Novembre, Thierry Frémont, Léa Seydoux"
aVoir-aLire.com,Pas mal,13th French Street,2007-11-28,90,Thriller,français,De Jean-Pierre Mocky,"Avec Tom Novembre, Thierry Frémont, Léa Seydoux"
Le Monde,Pas terrible,13th French Street,2007-11-28,90,Thriller,français,De Jean-Pierre Mocky,"Avec Tom Novembre, Thierry Frémont, Léa Seydoux"
TéléCinéObs,Pas terrible,13th French Street,2007-11-28,90,Thriller,français,De Jean-Pierre Mocky,"Avec Tom Novembre, Thierry Frémont, Léa Seydoux"
Ciné Live,Très mauvais,13th French Street,2007-11-28,90,Thriller,français,De Jean-Pierre Mocky,"Avec Tom Novembre, Thierry Frémont, Léa Seydoux"
MCinéma.com,Très mauvais,13th French Street,2007-11-28,90,Thriller,français,De Jean-Pierre Mocky,"Avec Tom Novembre, Thierry Frémont, Léa Seydoux"
L'Humanité,Pas mal,14 kilomètres,2009-02-25,95,Drame,espagnol,De Gerardo Olivares,"Avec Aminata Kanta, Adoum Moussa, Mahamadou Alzouma"
Les Inrockuptibles,Pas mal,14 kilomètres,2009-02-25,95,Drame,espagnol,De Gerardo Olivares,"Avec Aminata Kanta, Adoum Moussa, Mahamadou Alzouma"
Libération,Pas mal,14 kilomètres,2009-02-25,95,Drame,espagnol,De Gerardo Olivares,"Avec Aminata Kanta, Adoum Moussa, Mahamadou Alzouma"
Ouest France,Pas mal,14 kilomètres,2009-02-25,95,Drame,espagnol,De Gerardo Olivares,"Avec Aminata Kanta, Adoum Moussa, Mahamadou Alzouma"
Studio Ciné Live,Pas mal,14 kilomètres,2009-02-25,95,Drame,espagnol,De Gerardo Olivares,"Avec Aminata Kanta, Adoum Moussa, Mahamadou Alzouma"
TéléCinéObs,Pas mal,14 kilomètres,2009-02-25,95,Drame,espagnol,De Gerardo Olivares,"Avec Aminata Kanta, Adoum Moussa, Mahamadou Alzouma"
Télérama,Pas mal,14 kilomètres,2009-02-25,95,Drame,espagnol,De Gerardo Olivares,"Avec Aminata Kanta, Adoum Moussa, Mahamadou Alzouma"
Le Monde,Très mauvais,14 kilomètres,2009-02-25,95,Drame,espagnol,De Gerardo Olivares,"Avec Aminata Kanta, Adoum Moussa, Mahamadou Alzouma"
L'Express,Pas mal,15 ans et demi,2008-04-30,97,Comédie,français,"De François Desagnat, Thomas Sorriaux","Avec Daniel Auteuil, Juliette Lamboley, François Damiens"
Le Figaroscope,Pas mal,15 ans et demi,2008-04-30,97,Comédie,français,"De François Desagnat, Thomas Sorriaux","Avec Daniel Auteuil, Juliette Lamboley, François Damiens"
Le Monde,Pas mal,15 ans et demi,2008-04-30,97,Comédie,français,"De François Desagnat, Thomas Sorriaux","Avec Daniel Auteuil, Juliette Lamboley, François Damiens"
MCinéma.com,Pas mal,15 ans et demi,2008-04-30,97,Comédie,français,"De François Desagnat, Thomas Sorriaux","Avec Daniel Auteuil, Juliette Lamboley, François Damiens"
TéléCinéObs,Pas mal,15 ans et demi,2008-04-30,97,Comédie,français,"De François Desagnat, Thomas Sorriaux","Avec Daniel Auteuil, Juliette Lamboley, François Damiens"
Ciné Live,Pas terrible,15 ans et demi,2008-04-30,97,Comédie,français,"De François Desagnat, Thomas Sorriaux","Avec Daniel Auteuil, Juliette Lamboley, François Damiens"
La Croix,Pas terrible,15 ans et demi,2008-04-30,97,Comédie,français,"De François Desagnat, Thomas Sorriaux","Avec Daniel Auteuil, Juliette Lamboley, François Damiens"
Première,Pas terrible,15 ans et demi,2008-04-30,97,Comédie,français,"De François Desagnat, Thomas Sorriaux","Avec Daniel Auteuil, Juliette Lamboley, François Damiens"
Studio Magazine,Pas terrible,15 ans et demi,2008-04-30,97,Comédie,français,"De François Desagnat, Thomas Sorriaux","Avec Daniel Auteuil, Juliette Lamboley, François Damiens"
Télé 7 Jours,Pas terrible,15 ans et demi,2008-04-30,97,Comédie,français,"De François Desagnat, Thomas Sorriaux","Avec Daniel Auteuil, Juliette Lamboley, François Damiens"
Télérama,Pas terrible,15 ans et demi,2008-04-30,97,Comédie,français,"De François Desagnat, Thomas Sorriaux","Avec Daniel Auteuil, Juliette Lamboley, François Damiens"
Elle,Très mauvais,15 ans et demi,2008-04-30,97,Comédie,français,"De François Desagnat, Thomas Sorriaux","Avec Daniel Auteuil, Juliette Lamboley, François Damiens"
L'Humanité,Très mauvais,15 ans et demi,2008-04-30,97,Comédie,français,"De François Desagnat, Thomas Sorriaux","Avec Daniel Auteuil, Juliette Lamboley, François Damiens"
Le Journal du Dimanche,Très mauvais,15 ans et demi,2008-04-30,97,Comédie,français,"De François Desagnat, Thomas Sorriaux","Avec Daniel Auteuil, Juliette Lamboley, François Damiens"
Les Inrockuptibles,Très mauvais,15 ans et demi,2008-04-30,97,Comédie,français,"De François Desagnat, Thomas Sorriaux","Avec Daniel Auteuil, Juliette Lamboley, François Damiens"
Metro,Très mauvais,15 ans et demi,2008-04-30,97,Comédie,français,"De François Desagnat, Thomas Sorriaux","Avec Daniel Auteuil, Juliette Lamboley, François Damiens"
Ouest France,Très mauvais,15 ans et demi,2008-04-30,97,Comédie,français,"De François Desagnat, Thomas Sorriaux","Avec Daniel Auteuil, Juliette Lamboley, François Damiens"
Positif,Très mauvais,15 ans et demi,2008-04-30,97,Comédie,français,"De François Desagnat, Thomas Sorriaux","Avec Daniel Auteuil, Juliette Lamboley, François Damiens"
aVoir-aLire.com,Très mauvais,15 ans et demi,2008-04-30,97,Comédie,français,"De François Desagnat, Thomas Sorriaux","Avec Daniel Auteuil, Juliette Lamboley, François Damiens"
Le Journal du Dimanche,Chef-d'oeuvre,2 Days in Paris,2007-07-11,96,Romance,français,De Julie Delpy,"Avec Adam Goldberg, Julie Delpy, Daniel Brühl"
Le Parisien,Chef-d'oeuvre,2 Days in Paris,2007-07-11,96,Romance,français,De Julie Delpy,"Avec Adam Goldberg, Julie Delpy, Daniel Brühl"
Positif,Chef-d'oeuvre,2 Days in Paris,2007-07-11,96,Romance,français,De Julie Delpy,"Avec Adam Goldberg, Julie Delpy, Daniel Brühl"
Télérama,Chef-d'oeuvre,2 Days in Paris,2007-07-11,96,Romance,français,De Julie Delpy,"Avec Adam Goldberg, Julie Delpy, Daniel Brühl"
L'Express,Très bien,2 Days in Paris,2007-07-11,96,Romance,français,De Julie Delpy,"Avec Adam Goldberg, Julie Delpy, Daniel Brühl"
Le Figaro,Très bien,2 Days in Paris,2007-07-11,96,Romance,français,De Julie Delpy,"Avec Adam Goldberg, Julie Delpy, Daniel Brühl"
Le Monde,Très bien,2 Days in Paris,2007-07-11,96,Romance,français,De Julie Delpy,"Avec Adam Goldberg, Julie Delpy, Daniel Brühl"
Le Nouvel Observateur,Très bien,2 Days in Paris,2007-07-11,96,Romance,français,De Julie Delpy,"Avec Adam Goldberg, Julie Delpy, Daniel Brühl"
Le Point,Très bien,2 Days in Paris,2007-07-11,96,Romance,français,De Julie Delpy,"Avec Adam Goldberg, Julie Delpy, Daniel Brühl"
Les Inrockuptibles,Très bien,2 Days in Paris,2007-07-11,96,Romance,français,De Julie Delpy,"Avec Adam Goldberg, Julie Delpy, Daniel Brühl"
Libération,Très bien,2 Days in Paris,2007-07-11,96,Romance,français,De Julie Delpy,"Avec Adam Goldberg, Julie Delpy, Daniel Brühl"
MCinéma.com,Très bien,2 Days in Paris,2007-07-11,96,Romance,français,De Julie Delpy,"Avec Adam Goldberg, Julie Delpy, Daniel Brühl"
Télé 7 Jours,Très bien,2 Days in Paris,2007-07-11,96,Romance,français,De Julie Delpy,"Avec Adam Goldberg, Julie Delpy, Daniel Brühl"
TéléCinéObs,Très bien,2 Days in Paris,2007-07-11,96,Romance,français,De Julie Delpy,"Avec Adam Goldberg, Julie Delpy, Daniel Brühl"
Elle,Pas mal,2 Days in Paris,2007-07-11,96,Romance,français,De Julie Delpy,"Avec Adam Goldberg, Julie Delpy, Daniel Brühl"
Ouest France,Pas mal,2 Days in Paris,2007-07-11,96,Romance,français,De Julie Delpy,"Avec Adam Goldberg, Julie Delpy, Daniel Brühl"
Paris Match,Pas mal,2 Days in Paris,2007-07-11,96,Romance,français,De Julie Delpy,"Avec Adam Goldberg, Julie Delpy, Daniel Brühl"
Première,Pas mal,2 Days in Paris,2007-07-11,96,Romance,français,De Julie Delpy,"Avec Adam Goldberg, Julie Delpy, Daniel Brühl"
Score,Pas mal,2 Days in Paris,2007-07-11,96,Romance,français,De Julie Delpy,"Avec Adam Goldberg, Julie Delpy, Daniel Brühl"
aVoir-aLire.com,Pas mal,2 Days in Paris,2007-07-11,96,Romance,français,De Julie Delpy,"Avec Adam Goldberg, Julie Delpy, Daniel Brühl"
Charlie Hebdo,Chef-d'oeuvre,20 minutes de bonheur,2008-09-17,100,Documentaire,français,"De Oren Nataf, Isabelle Friedman","Avec Laurent Fontaine, Pascal Bataille"
Les Inrockuptibles,Chef-d'oeuvre,20 minutes de bonheur,2008-09-17,100,Documentaire,français,"De Oren Nataf, Isabelle Friedman","Avec Laurent Fontaine, Pascal Bataille"
Chronic'art.com,Très bien,20 minutes de bonheur,2008-09-17,100,Documentaire,français,"De Oren Nataf, Isabelle Friedman","Avec Laurent Fontaine, Pascal Bataille"
Le Monde,Très bien,20 minutes de bonheur,2008-09-17,100,Documentaire,français,"De Oren Nataf, Isabelle Friedman","Avec Laurent Fontaine, Pascal Bataille"
Le Point,Très bien,20 minutes de bonheur,2008-09-17,100,Documentaire,français,"De Oren Nataf, Isabelle Friedman","Avec Laurent Fontaine, Pascal Bataille"
Metro,Très bien,20 minutes de bonheur,2008-09-17,100,Documentaire,français,"De Oren Nataf, Isabelle Friedman","Avec Laurent Fontaine, Pascal Bataille"
Libération,Pas mal,20 minutes de bonheur,2008-09-17,100,Documentaire,français,"De Oren Nataf, Isabelle Friedman","Avec Laurent Fontaine, Pascal Bataille"
TéléCinéObs,Pas mal,20 minutes de bonheur,2008-09-17,100,Documentaire,français,"De Oren Nataf, Isabelle Friedman","Avec Laurent Fontaine, Pascal Bataille"
Télérama,Pas mal,20 minutes de bonheur,2008-09-17,100,Documentaire,français,"De Oren Nataf, Isabelle Friedman","Avec Laurent Fontaine, Pascal Bataille"
Positif,Pas terrible,20 minutes de bonheur,2008-09-17,100,Documentaire,français,"De Oren Nataf, Isabelle Friedman","Avec Laurent Fontaine, Pascal Bataille"
Brazil,Chef-d'oeuvre,28 semaines plus tard,2007-09-19,91,Thriller,britannique,De Juan Carlos Fresnadillo,"Avec Robert Carlyle, Rose Byrne, Harold Perrineau"
Mad Movies,Chef-d'oeuvre,28 semaines plus tard,2007-09-19,91,Thriller,britannique,De Juan Carlos Fresnadillo,"Avec Robert Carlyle, Rose Byrne, Harold Perrineau"
Télé 7 Jours,Chef-d'oeuvre,28 semaines plus tard,2007-09-19,91,Thriller,britannique,De Juan Carlos Fresnadillo,"Avec Robert Carlyle, Rose Byrne, Harold Perrineau"
L'Ecran Fantastique,Très bien,28 semaines plus tard,2007-09-19,91,Thriller,britannique,De Juan Carlos Fresnadillo,"Avec Robert Carlyle, Rose Byrne, Harold Perrineau"
Le Figaroscope,Très bien,28 semaines plus tard,2007-09-19,91,Thriller,britannique,De Juan Carlos Fresnadillo,"Avec Robert Carlyle, Rose Byrne, Harold Perrineau"
Le Journal du Dimanche,Très bien,28 semaines plus tard,2007-09-19,91,Thriller,britannique,De Juan Carlos Fresnadillo,"Avec Robert Carlyle, Rose Byrne, Harold Perrineau"
Le Monde,Très bien,28 semaines plus tard,2007-09-19,91,Thriller,britannique,De Juan Carlos Fresnadillo,"Avec Robert Carlyle, Rose Byrne, Harold Perrineau"
Le Parisien,Très bien,28 semaines plus tard,2007-09-19,91,Thriller,britannique,De Juan Carlos Fresnadillo,"Avec Robert Carlyle, Rose Byrne, Harold Perrineau"
Paris Match,Très bien,28 semaines plus tard,2007-09-19,91,Thriller,britannique,De Juan Carlos Fresnadillo,"Avec Robert Carlyle, Rose Byrne, Harold Perrineau"
Première,Très bien,28 semaines plus tard,2007-09-19,91,Thriller,britannique,De Juan Carlos Fresnadillo,"Avec Robert Carlyle, Rose Byrne, Harold Perrineau"
aVoir-aLire.com,Très bien,28 semaines plus tard,2007-09-19,91,Thriller,britannique,De Juan Carlos Fresnadillo,"Avec Robert Carlyle, Rose Byrne, Harold Perrineau"
L'Humanité,Pas mal,28 semaines plus tard,2007-09-19,91,Thriller,britannique,De Juan Carlos Fresnadillo,"Avec Robert Carlyle, Rose Byrne, Harold Perrineau"
MCinéma.com,Pas mal,28 semaines plus tard,2007-09-19,91,Thriller,britannique,De Juan Carlos Fresnadillo,"Avec Robert Carlyle, Rose Byrne, Harold Perrineau"
Metro,Pas mal,28 semaines plus tard,2007-09-19,91,Thriller,britannique,De Juan Carlos Fresnadillo,"Avec Robert Carlyle, Rose Byrne, Harold Perrineau"
Ouest France,Pas mal,28 semaines plus tard,2007-09-19,91,Thriller,britannique,De Juan Carlos Fresnadillo,"Avec Robert Carlyle, Rose Byrne, Harold Perrineau"
Positif,Pas mal,28 semaines plus tard,2007-09-19,91,Thriller,britannique,De Juan Carlos Fresnadillo,"Avec Robert Carlyle, Rose Byrne, Harold Perrineau"
L'Express,Pas terrible,28 semaines plus tard,2007-09-19,91,Thriller,britannique,De Juan Carlos Fresnadillo,"Avec Robert Carlyle, Rose Byrne, Harold Perrineau"
Les Inrockuptibles,Pas terrible,28 semaines plus tard,2007-09-19,91,Thriller,britannique,De Juan Carlos Fresnadillo,"Avec Robert Carlyle, Rose Byrne, Harold Perrineau"
TéléCinéObs,Pas terrible,28 semaines plus tard,2007-09-19,91,Thriller,britannique,De Juan Carlos Fresnadillo,"Avec Robert Carlyle, Rose Byrne, Harold Perrineau"
Chronic'art.com,Très mauvais,28 semaines plus tard,2007-09-19,91,Thriller,britannique,De Juan Carlos Fresnadillo,"Avec Robert Carlyle, Rose Byrne, Harold Perrineau"
Libération,Très mauvais,28 semaines plus tard,2007-09-19,91,Thriller,britannique,De Juan Carlos Fresnadillo,"Avec Robert Carlyle, Rose Byrne, Harold Perrineau"
Première,Très bien,2ème sous-sol,2008-03-05,98,Thriller,américain,De Franck Khalfoun,"Avec Rachel Nichols, Wes Bentley, Simon Reynolds"
Brazil,Pas mal,2ème sous-sol,2008-03-05,98,Thriller,américain,De Franck Khalfoun,"Avec Rachel Nichols, Wes Bentley, Simon Reynolds"
L'Ecran Fantastique,Pas mal,2ème sous-sol,2008-03-05,98,Thriller,américain,De Franck Khalfoun,"Avec Rachel Nichols, Wes Bentley, Simon Reynolds"
Le Parisien,Pas mal,2ème sous-sol,2008-03-05,98,Thriller,américain,De Franck Khalfoun,"Avec Rachel Nichols, Wes Bentley, Simon Reynolds"
Ouest France,Pas mal,2ème sous-sol,2008-03-05,98,Thriller,américain,De Franck Khalfoun,"Avec Rachel Nichols, Wes Bentley, Simon Reynolds"
TéléCinéObs,Pas mal,2ème sous-sol,2008-03-05,98,Thriller,américain,De Franck Khalfoun,"Avec Rachel Nichols, Wes Bentley, Simon Reynolds"
Ciné Live,Pas terrible,2ème sous-sol,2008-03-05,98,Thriller,américain,De Franck Khalfoun,"Avec Rachel Nichols, Wes Bentley, Simon Reynolds"
MCinéma.com,Pas terrible,2ème sous-sol,2008-03-05,98,Thriller,américain,De Franck Khalfoun,"Avec Rachel Nichols, Wes Bentley, Simon Reynolds"
