paper,rating,title,date,duration,genre,nationality,direction,actors
Le Parisien,Chef-d'oeuvre,10 Cloverfield Lane,2016-03-16,103,Thriller,américain,De Dan Trachtenberg,"Avec Mary Elizabeth Winstead, John Goodman, John Gallagher Jr."
Le Point,Chef-d'oeuvre,10 Cloverfield Lane,2016-03-16,103,Thriller,américain,De Dan Trachtenberg,"Avec Mary Elizabeth Winstead, John Goodman, John Gallagher Jr."
20 Minutes,Très bien,10 Cloverfield Lane,2016-03-16,103,Thriller,américain,De Dan Trachtenberg,"Avec Mary Elizabeth Winstead, John Goodman, John Gallagher Jr."
CNews,Très bien,10 Cloverfield Lane,2016-03-16,103,Thriller,américain,De Dan Trachtenberg,"Avec Mary Elizabeth Winstead, John Goodman, John Gallagher Jr."
Ecran Large,Très bien,10 Cloverfield Lane,2016-03-16,103,Thriller,américain,De Dan Trachtenberg,"Avec Mary Elizabeth Winstead, John Goodman, John Gallagher Jr."
L'Ecran Fantastique,Très bien,10 Cloverfield Lane,2016-03-16,103,Thriller,américain,De Dan Trachtenberg,"Avec Mary Elizabeth Winstead, John Goodman, John Gallagher Jr."
Les Fiches du Cinéma,Très bien,10 Cloverfield Lane,2016-03-16,103,Thriller,américain,De Dan Trachtenberg,"Avec Mary Elizabeth Winstead, John Goodman, John Gallagher Jr."
Mad Movies,Très bien,10 Cloverfield Lane,2016-03-16,103,Thriller,américain,De Dan Trachtenberg,"Avec Mary Elizabeth Winstead, John Goodman, John Gallagher Jr."
Metro,Très bien,10 Cloverfield Lane,2016-03-16,103,Thriller,américain,De Dan Trachtenberg,"Avec Mary Elizabeth Winstead, John Goodman, John Gallagher Jr."
Ouest France,Très bien,10 Cloverfield Lane,2016-03-16,103,Thriller,américain,De Dan Trachtenberg,"Avec Mary Elizabeth Winstead, John Goodman, John Gallagher Jr."
Paris Match,Très bien,10 Cloverfield Lane,2016-03-16,103,Thriller,américain,De Dan Trachtenberg,"Avec Mary Elizabeth Winstead, John Goodman, John Gallagher Jr."
TF1 News,Très bien,10 Cloverfield Lane,2016-03-16,103,Thriller,américain,De Dan Trachtenberg,"Avec Mary Elizabeth Winstead, John Goodman, John Gallagher Jr."
VSD,Très bien,10 Cloverfield Lane,2016-03-16,103,Thriller,américain,De Dan Trachtenberg,"Avec Mary Elizabeth Winstead, John Goodman, John Gallagher Jr."
Critikat.com,Pas mal,10 Cloverfield Lane,2016-03-16,103,Thriller,américain,De Dan Trachtenberg,"Avec Mary Elizabeth Winstead, John Goodman, John Gallagher Jr."
Le Dauphiné Libéré,Pas mal,10 Cloverfield Lane,2016-03-16,103,Thriller,américain,De Dan Trachtenberg,"Avec Mary Elizabeth Winstead, John Goodman, John Gallagher Jr."
Les Inrockuptibles,Pas mal,10 Cloverfield Lane,2016-03-16,103,Thriller,américain,De Dan Trachtenberg,"Avec Mary Elizabeth Winstead, John Goodman, John Gallagher Jr."
Positif,Pas mal,10 Cloverfield Lane,2016-03-16,103,Thriller,américain,De Dan Trachtenberg,"Avec Mary Elizabeth Winstead, John Goodman, John Gallagher Jr."
Cahiers du Cinéma,Pas terrible,10 Cloverfield Lane,2016-03-16,103,Thriller,américain,De Dan Trachtenberg,"Avec Mary Elizabeth Winstead, John Goodman, John Gallagher Jr."
Le Monde,Pas terrible,10 Cloverfield Lane,2016-03-16,103,Thriller,américain,De Dan Trachtenberg,"Avec Mary Elizabeth Winstead, John Goodman, John Gallagher Jr."
Libération,Très mauvais,10 Cloverfield Lane,2016-03-16,103,Thriller,américain,De Dan Trachtenberg,"Avec Mary Elizabeth Winstead, John Goodman, John Gallagher Jr."
Le Parisien,Chef-d'oeuvre,13 Hours,2016-03-30,144,Action,américain,De Michael Bay,"Avec John Krasinski, James Badge Dale, Max Martini"
CinemaTeaser,Très bien,13 Hours,2016-03-30,144,Action,américain,De Michael Bay,"Avec John Krasinski, James Badge Dale, Max Martini"
Gala,Très bien,13 Hours,2016-03-30,144,Action,américain,De Michael Bay,"Avec John Krasinski, James Badge Dale, Max Martini"
Le Dauphiné Libéré,Très bien,13 Hours,2016-03-30,144,Action,américain,De Michael Bay,"Avec John Krasinski, James Badge Dale, Max Martini"
Le Journal du Dimanche,Très bien,13 Hours,2016-03-30,144,Action,américain,De Michael Bay,"Avec John Krasinski, James Badge Dale, Max Martini"
Ouest France,Très bien,13 Hours,2016-03-30,144,Action,américain,De Michael Bay,"Avec John Krasinski, James Badge Dale, Max Martini"
Première,Très bien,13 Hours,2016-03-30,144,Action,américain,De Michael Bay,"Avec John Krasinski, James Badge Dale, Max Martini"
20 Minutes,Pas mal,13 Hours,2016-03-30,144,Action,américain,De Michael Bay,"Avec John Krasinski, James Badge Dale, Max Martini"
Télérama,Pas mal,13 Hours,2016-03-30,144,Action,américain,De Michael Bay,"Avec John Krasinski, James Badge Dale, Max Martini"
VSD,Pas mal,13 Hours,2016-03-30,144,Action,américain,De Michael Bay,"Avec John Krasinski, James Badge Dale, Max Martini"
Voici,Pas mal,13 Hours,2016-03-30,144,Action,américain,De Michael Bay,"Avec John Krasinski, James Badge Dale, Max Martini"
aVoir-aLire.com,Pas mal,13 Hours,2016-03-30,144,Action,américain,De Michael Bay,"Avec John Krasinski, James Badge Dale, Max Martini"
Critikat.com,Pas terrible,13 Hours,2016-03-30,144,Action,américain,De Michael Bay,"Avec John Krasinski, James Badge Dale, Max Martini"
Le Monde,Pas terrible,13 Hours,2016-03-30,144,Action,américain,De Michael Bay,"Avec John Krasinski, James Badge Dale, Max Martini"
Les Fiches du Cinéma,Pas terrible,13 Hours,2016-03-30,144,Action,américain,De Michael Bay,"Avec John Krasinski, James Badge Dale, Max Martini"
Les Inrockuptibles,Pas terrible,13 Hours,2016-03-30,144,Action,américain,De Michael Bay,"Avec John Krasinski, James Badge Dale, Max Martini"
Metro,Pas terrible,13 Hours,2016-03-30,144,Action,américain,De Michael Bay,"Avec John Krasinski, James Badge Dale, Max Martini"
Positif,Pas terrible,13 Hours,2016-03-30,144,Action,américain,De Michael Bay,"Avec John Krasinski, James Badge Dale, Max Martini"
Studio Ciné Live,Pas terrible,13 Hours,2016-03-30,144,Action,américain,De Michael Bay,"Avec John Krasinski, James Badge Dale, Max Martini"
Télé 7 Jours,Pas terrible,13 Hours,2016-03-30,144,Action,américain,De Michael Bay,"Avec John Krasinski, James Badge Dale, Max Martini"
20 Minutes,Très bien,1:54,2017-03-15,106,Drame,canadien,De Yan England,"Avec Antoine-Olivier Pilon, Sophie Nélisse, Lou-Pascal Tremblay"
Le Figaro,Très bien,1:54,2017-03-15,106,Drame,canadien,De Yan England,"Avec Antoine-Olivier Pilon, Sophie Nélisse, Lou-Pascal Tremblay"
Le Parisien,Très bien,1:54,2017-03-15,106,Drame,canadien,De Yan England,"Avec Antoine-Olivier Pilon, Sophie Nélisse, Lou-Pascal Tremblay"
Ouest France,Très bien,1:54,2017-03-15,106,Drame,canadien,De Yan England,"Avec Antoine-Olivier Pilon, Sophie Nélisse, Lou-Pascal Tremblay"
Paris Match,Très bien,1:54,2017-03-15,106,Drame,canadien,De Yan England,"Avec Antoine-Olivier Pilon, Sophie Nélisse, Lou-Pascal Tremblay"
Studio Ciné Live,Très bien,1:54,2017-03-15,106,Drame,canadien,De Yan England,"Avec Antoine-Olivier Pilon, Sophie Nélisse, Lou-Pascal Tremblay"
Le Journal du Dimanche,Pas mal,1:54,2017-03-15,106,Drame,canadien,De Yan England,"Avec Antoine-Olivier Pilon, Sophie Nélisse, Lou-Pascal Tremblay"
Les Fiches du Cinéma,Pas mal,1:54,2017-03-15,106,Drame,canadien,De Yan England,"Avec Antoine-Olivier Pilon, Sophie Nélisse, Lou-Pascal Tremblay"
Télérama,Pas mal,1:54,2017-03-15,106,Drame,canadien,De Yan England,"Avec Antoine-Olivier Pilon, Sophie Nélisse, Lou-Pascal Tremblay"
Le Dauphiné Libéré,Pas terrible,1:54,2017-03-15,106,Drame,canadien,De Yan England,"Avec Antoine-Olivier Pilon, Sophie Nélisse, Lou-Pascal Tremblay"
Le Nouvel Observateur,Pas terrible,1:54,2017-03-15,106,Drame,canadien,De Yan England,"Avec Antoine-Olivier Pilon, Sophie Nélisse, Lou-Pascal Tremblay"
20 Minutes,Chef-d'oeuvre,20th Century Women,2017-03-01,119,Comédie,américain,De Mike Mills,"Avec Annette Bening, Greta Gerwig, Elle Fanning"
Femme Actuelle,Chef-d'oeuvre,20th Century Women,2017-03-01,119,Comédie,américain,De Mike Mills,"Avec Annette Bening, Greta Gerwig, Elle Fanning"
Libération,Chef-d'oeuvre,20th Century Women,2017-03-01,119,Comédie,américain,De Mike Mills,"Avec Annette Bening, Greta Gerwig, Elle Fanning"
Charlie Hebdo,Très bien,20th Century Women,2017-03-01,119,Comédie,américain,De Mike Mills,"Avec Annette Bening, Greta Gerwig, Elle Fanning"
L'Express,Très bien,20th Century Women,2017-03-01,119,Comédie,américain,De Mike Mills,"Avec Annette Bening, Greta Gerwig, Elle Fanning"
Le Dauphiné Libéré,Très bien,20th Century Women,2017-03-01,119,Comédie,américain,De Mike Mills,"Avec Annette Bening, Greta Gerwig, Elle Fanning"
Le Monde,Très bien,20th Century Women,2017-03-01,119,Comédie,américain,De Mike Mills,"Avec Annette Bening, Greta Gerwig, Elle Fanning"
Les Inrockuptibles,Très bien,20th Century Women,2017-03-01,119,Comédie,américain,De Mike Mills,"Avec Annette Bening, Greta Gerwig, Elle Fanning"
Rolling Stone,Très bien,20th Century Women,2017-03-01,119,Comédie,américain,De Mike Mills,"Avec Annette Bening, Greta Gerwig, Elle Fanning"
Studio Ciné Live,Très bien,20th Century Women,2017-03-01,119,Comédie,américain,De Mike Mills,"Avec Annette Bening, Greta Gerwig, Elle Fanning"
Sud Ouest,Très bien,20th Century Women,2017-03-01,119,Comédie,américain,De Mike Mills,"Avec Annette Bening, Greta Gerwig, Elle Fanning"
Transfuge,Très bien,20th Century Women,2017-03-01,119,Comédie,américain,De Mike Mills,"Avec Annette Bening, Greta Gerwig, Elle Fanning"
Télé 7 Jours,Très bien,20th Century Women,2017-03-01,119,Comédie,américain,De Mike Mills,"Avec Annette Bening, Greta Gerwig, Elle Fanning"
Télérama,Très bien,20th Century Women,2017-03-01,119,Comédie,américain,De Mike Mills,"Avec Annette Bening, Greta Gerwig, Elle Fanning"
aVoir-aLire.com,Très bien,20th Century Women,2017-03-01,119,Comédie,américain,De Mike Mills,"Avec Annette Bening, Greta Gerwig, Elle Fanning"
Critikat.com,Pas mal,20th Century Women,2017-03-01,119,Comédie,américain,De Mike Mills,"Avec Annette Bening, Greta Gerwig, Elle Fanning"
La Croix,Pas mal,20th Century Women,2017-03-01,119,Comédie,américain,De Mike Mills,"Avec Annette Bening, Greta Gerwig, Elle Fanning"
Le Journal du Dimanche,Pas mal,20th Century Women,2017-03-01,119,Comédie,américain,De Mike Mills,"Avec Annette Bening, Greta Gerwig, Elle Fanning"
Le Parisien,Pas mal,20th Century Women,2017-03-01,119,Comédie,américain,De Mike Mills,"Avec Annette Bening, Greta Gerwig, Elle Fanning"
Les Fiches du Cinéma,Pas mal,20th Century Women,2017-03-01,119,Comédie,américain,De Mike Mills,"Avec Annette Bening, Greta Gerwig, Elle Fanning"
VSD,Pas mal,20th Century Women,2017-03-01,119,Comédie,américain,De Mike Mills,"Avec Annette Bening, Greta Gerwig, Elle Fanning"
Voici,Pas mal,20th Century Women,2017-03-01,119,Comédie,américain,De Mike Mills,"Avec Annette Bening, Greta Gerwig, Elle Fanning"
Cahiers du Cinéma,Pas terrible,20th Century Women,2017-03-01,119,Comédie,américain,De Mike Mills,"Avec Annette Bening, Greta Gerwig, Elle Fanning"
Le Figaro,Pas terrible,20th Century Women,2017-03-01,119,Comédie,américain,De Mike Mills,"Avec Annette Bening, Greta Gerwig, Elle Fanning"
Le Nouvel Observateur,Pas terrible,20th Century Women,2017-03-01,119,Comédie,américain,De Mike Mills,"Avec Annette Bening, Greta Gerwig, Elle Fanning"
20 Minutes,Très bien,7 Jours Pas Plus,2017-08-30,91,Comédie dramatique,français,De Héctor Cabello Reyes,"Avec Benoît Poelvoorde, Pitobash, Alexandra Lamy"
Femme Actuelle,Très bien,7 Jours Pas Plus,2017-08-30,91,Comédie dramatique,français,De Héctor Cabello Reyes,"Avec Benoît Poelvoorde, Pitobash, Alexandra Lamy"
Ouest France,Très bien,7 Jours Pas Plus,2017-08-30,91,Comédie dramatique,français,De Héctor Cabello Reyes,"Avec Benoît Poelvoorde, Pitobash, Alexandra Lamy"
aVoir-aLire.com,Très bien,7 Jours Pas Plus,2017-08-30,91,Comédie dramatique,français,De Héctor Cabello Reyes,"Avec Benoît Poelvoorde, Pitobash, Alexandra Lamy"
Le Dauphiné Libéré,Pas mal,7 Jours Pas Plus,2017-08-30,91,Comédie dramatique,français,De Héctor Cabello Reyes,"Avec Benoît Poelvoorde, Pitobash, Alexandra Lamy"
