paper,rating,title,date,duration,genre,nationality,direction,actors
Le Point,Chef-d'oeuvre,"""Le Voyage extraordinaire"" suivi de ""Le Voyage dans la lune""",2011-12-14,80,Documentaire,français,"De Georges Méliès, Serge Bromberg",NA
Les Inrockuptibles,Chef-d'oeuvre,"""Le Voyage extraordinaire"" suivi de ""Le Voyage dans la lune""",2011-12-14,80,Documentaire,français,"De Georges Méliès, Serge Bromberg",NA
Ecran Large,Très bien,"""Le Voyage extraordinaire"" suivi de ""Le Voyage dans la lune""",2011-12-14,80,Documentaire,français,"De Georges Méliès, Serge Bromberg",NA
Le Figaroscope,Très bien,"""Le Voyage extraordinaire"" suivi de ""Le Voyage dans la lune""",2011-12-14,80,Documentaire,français,"De Georges Méliès, Serge Bromberg",NA
Le Journal du Dimanche,Très bien,"""Le Voyage extraordinaire"" suivi de ""Le Voyage dans la lune""",2011-12-14,80,Documentaire,français,"De Georges Méliès, Serge Bromberg",NA
Le Monde,Très bien,"""Le Voyage extraordinaire"" suivi de ""Le Voyage dans la lune""",2011-12-14,80,Documentaire,français,"De Georges Méliès, Serge Bromberg",NA
Les Fiches du Cinéma,Très bien,"""Le Voyage extraordinaire"" suivi de ""Le Voyage dans la lune""",2011-12-14,80,Documentaire,français,"De Georges Méliès, Serge Bromberg",NA
Studio Ciné Live,Très bien,"""Le Voyage extraordinaire"" suivi de ""Le Voyage dans la lune""",2011-12-14,80,Documentaire,français,"De Georges Méliès, Serge Bromberg",NA
Télérama,Très bien,"""Le Voyage extraordinaire"" suivi de ""Le Voyage dans la lune""",2011-12-14,80,Documentaire,français,"De Georges Méliès, Serge Bromberg",NA
Critikat.com,Pas terrible,"""Le Voyage extraordinaire"" suivi de ""Le Voyage dans la lune""",2011-12-14,80,Documentaire,français,"De Georges Méliès, Serge Bromberg",NA
Elle,Pas mal,(S)ex List,2011-10-05,108,Comédie,américain,De Mark Mylod,"Avec Anna Faris, Chris Evans, Ari Graynor"
L'Express,Pas mal,(S)ex List,2011-10-05,108,Comédie,américain,De Mark Mylod,"Avec Anna Faris, Chris Evans, Ari Graynor"
Le Monde,Pas mal,(S)ex List,2011-10-05,108,Comédie,américain,De Mark Mylod,"Avec Anna Faris, Chris Evans, Ari Graynor"
Première,Pas mal,(S)ex List,2011-10-05,108,Comédie,américain,De Mark Mylod,"Avec Anna Faris, Chris Evans, Ari Graynor"
TéléCinéObs,Pas mal,(S)ex List,2011-10-05,108,Comédie,américain,De Mark Mylod,"Avec Anna Faris, Chris Evans, Ari Graynor"
Le Journal du Dimanche,Pas terrible,(S)ex List,2011-10-05,108,Comédie,américain,De Mark Mylod,"Avec Anna Faris, Chris Evans, Ari Graynor"
Télérama,Pas terrible,(S)ex List,2011-10-05,108,Comédie,américain,De Mark Mylod,"Avec Anna Faris, Chris Evans, Ari Graynor"
Critikat.com,Très mauvais,(S)ex List,2011-10-05,108,Comédie,américain,De Mark Mylod,"Avec Anna Faris, Chris Evans, Ari Graynor"
Ouest France,Très mauvais,(S)ex List,2011-10-05,108,Comédie,américain,De Mark Mylod,"Avec Anna Faris, Chris Evans, Ari Graynor"
Studio Ciné Live,Très mauvais,(S)ex List,2011-10-05,108,Comédie,américain,De Mark Mylod,"Avec Anna Faris, Chris Evans, Ari Graynor"
Positif,Chef-d'oeuvre,11 fleurs,2012-05-09,110,Drame,français,De Wang Xiaoshuai,"Avec Liu Wenqing, Jing-chun Wang, Yan Ni"
Le Figaroscope,Très bien,11 fleurs,2012-05-09,110,Drame,français,De Wang Xiaoshuai,"Avec Liu Wenqing, Jing-chun Wang, Yan Ni"
Le Point,Très bien,11 fleurs,2012-05-09,110,Drame,français,De Wang Xiaoshuai,"Avec Liu Wenqing, Jing-chun Wang, Yan Ni"
Ouest France,Très bien,11 fleurs,2012-05-09,110,Drame,français,De Wang Xiaoshuai,"Avec Liu Wenqing, Jing-chun Wang, Yan Ni"
Ouest France,Très bien,11 fleurs,2012-05-09,110,Drame,français,De Wang Xiaoshuai,"Avec Liu Wenqing, Jing-chun Wang, Yan Ni"
Studio Ciné Live,Très bien,11 fleurs,2012-05-09,110,Drame,français,De Wang Xiaoshuai,"Avec Liu Wenqing, Jing-chun Wang, Yan Ni"
TéléCinéObs,Très bien,11 fleurs,2012-05-09,110,Drame,français,De Wang Xiaoshuai,"Avec Liu Wenqing, Jing-chun Wang, Yan Ni"
Télérama,Très bien,11 fleurs,2012-05-09,110,Drame,français,De Wang Xiaoshuai,"Avec Liu Wenqing, Jing-chun Wang, Yan Ni"
Critikat.com,Pas mal,11 fleurs,2012-05-09,110,Drame,français,De Wang Xiaoshuai,"Avec Liu Wenqing, Jing-chun Wang, Yan Ni"
L'Humanité,Pas mal,11 fleurs,2012-05-09,110,Drame,français,De Wang Xiaoshuai,"Avec Liu Wenqing, Jing-chun Wang, Yan Ni"
La Croix,Pas mal,11 fleurs,2012-05-09,110,Drame,français,De Wang Xiaoshuai,"Avec Liu Wenqing, Jing-chun Wang, Yan Ni"
Les Fiches du Cinéma,Pas mal,11 fleurs,2012-05-09,110,Drame,français,De Wang Xiaoshuai,"Avec Liu Wenqing, Jing-chun Wang, Yan Ni"
Libération,Pas mal,11 fleurs,2012-05-09,110,Drame,français,De Wang Xiaoshuai,"Avec Liu Wenqing, Jing-chun Wang, Yan Ni"
Première,Pas mal,11 fleurs,2012-05-09,110,Drame,français,De Wang Xiaoshuai,"Avec Liu Wenqing, Jing-chun Wang, Yan Ni"
Cahiers du Cinéma,Pas terrible,11 fleurs,2012-05-09,110,Drame,français,De Wang Xiaoshuai,"Avec Liu Wenqing, Jing-chun Wang, Yan Ni"
Excessif,Pas terrible,11 fleurs,2012-05-09,110,Drame,français,De Wang Xiaoshuai,"Avec Liu Wenqing, Jing-chun Wang, Yan Ni"
Les Inrockuptibles,Pas terrible,11 fleurs,2012-05-09,110,Drame,français,De Wang Xiaoshuai,"Avec Liu Wenqing, Jing-chun Wang, Yan Ni"
Le Nouvel Observateur,Chef-d'oeuvre,17 filles,2011-12-14,87,Comédie dramatique,français,"De Muriel Coulin, Delphine Coulin","Avec Louise Grinberg, Juliette Darche, Roxane Duran"
Le Parisien,Chef-d'oeuvre,17 filles,2011-12-14,87,Comédie dramatique,français,"De Muriel Coulin, Delphine Coulin","Avec Louise Grinberg, Juliette Darche, Roxane Duran"
Les Inrockuptibles,Chef-d'oeuvre,17 filles,2011-12-14,87,Comédie dramatique,français,"De Muriel Coulin, Delphine Coulin","Avec Louise Grinberg, Juliette Darche, Roxane Duran"
20 Minutes,Très bien,17 filles,2011-12-14,87,Comédie dramatique,français,"De Muriel Coulin, Delphine Coulin","Avec Louise Grinberg, Juliette Darche, Roxane Duran"
Cahiers du Cinéma,Très bien,17 filles,2011-12-14,87,Comédie dramatique,français,"De Muriel Coulin, Delphine Coulin","Avec Louise Grinberg, Juliette Darche, Roxane Duran"
Critikat.com,Très bien,17 filles,2011-12-14,87,Comédie dramatique,français,"De Muriel Coulin, Delphine Coulin","Avec Louise Grinberg, Juliette Darche, Roxane Duran"
L'Express,Très bien,17 filles,2011-12-14,87,Comédie dramatique,français,"De Muriel Coulin, Delphine Coulin","Avec Louise Grinberg, Juliette Darche, Roxane Duran"
Le Monde,Très bien,17 filles,2011-12-14,87,Comédie dramatique,français,"De Muriel Coulin, Delphine Coulin","Avec Louise Grinberg, Juliette Darche, Roxane Duran"
Le Point,Très bien,17 filles,2011-12-14,87,Comédie dramatique,français,"De Muriel Coulin, Delphine Coulin","Avec Louise Grinberg, Juliette Darche, Roxane Duran"
Libération,Très bien,17 filles,2011-12-14,87,Comédie dramatique,français,"De Muriel Coulin, Delphine Coulin","Avec Louise Grinberg, Juliette Darche, Roxane Duran"
Marianne,Très bien,17 filles,2011-12-14,87,Comédie dramatique,français,"De Muriel Coulin, Delphine Coulin","Avec Louise Grinberg, Juliette Darche, Roxane Duran"
