paper,rating,title,date,duration,genre,nationality,direction,actors
Critikat.com,Très bien,108 – Cuchillo de Palo,2011-03-23,93,Documentaire,espagnol,De Renate Costa,NA
L'Humanité,Très bien,108 – Cuchillo de Palo,2011-03-23,93,Documentaire,espagnol,De Renate Costa,NA
Positif,Très bien,108 – Cuchillo de Palo,2011-03-23,93,Documentaire,espagnol,De Renate Costa,NA
Première,Très bien,108 – Cuchillo de Palo,2011-03-23,93,Documentaire,espagnol,De Renate Costa,NA
Studio Ciné Live,Très bien,108 – Cuchillo de Palo,2011-03-23,93,Documentaire,espagnol,De Renate Costa,NA
TéléCinéObs,Très bien,108 – Cuchillo de Palo,2011-03-23,93,Documentaire,espagnol,De Renate Costa,NA
Cahiers du Cinéma,Pas mal,108 – Cuchillo de Palo,2011-03-23,93,Documentaire,espagnol,De Renate Costa,NA
Le Monde,Pas mal,108 – Cuchillo de Palo,2011-03-23,93,Documentaire,espagnol,De Renate Costa,NA
Télérama,Pas mal,108 – Cuchillo de Palo,2011-03-23,93,Documentaire,espagnol,De Renate Costa,NA
Brazil,Pas terrible,108 – Cuchillo de Palo,2011-03-23,93,Documentaire,espagnol,De Renate Costa,NA
Filmsactu,Chef-d'oeuvre,127 heures,2011-02-23,94,Biopic,américain,De Danny Boyle,"Avec James Franco, Amber Tamblyn, Kate Mara"
Le Parisien,Chef-d'oeuvre,127 heures,2011-02-23,94,Biopic,américain,De Danny Boyle,"Avec James Franco, Amber Tamblyn, Kate Mara"
Metro,Chef-d'oeuvre,127 heures,2011-02-23,94,Biopic,américain,De Danny Boyle,"Avec James Franco, Amber Tamblyn, Kate Mara"
Télé 7 Jours,Chef-d'oeuvre,127 heures,2011-02-23,94,Biopic,américain,De Danny Boyle,"Avec James Franco, Amber Tamblyn, Kate Mara"
Critikat.com,Très bien,127 heures,2011-02-23,94,Biopic,américain,De Danny Boyle,"Avec James Franco, Amber Tamblyn, Kate Mara"
L'Ecran Fantastique,Très bien,127 heures,2011-02-23,94,Biopic,américain,De Danny Boyle,"Avec James Franco, Amber Tamblyn, Kate Mara"
La Croix,Très bien,127 heures,2011-02-23,94,Biopic,américain,De Danny Boyle,"Avec James Franco, Amber Tamblyn, Kate Mara"
Le Figaroscope,Très bien,127 heures,2011-02-23,94,Biopic,américain,De Danny Boyle,"Avec James Franco, Amber Tamblyn, Kate Mara"
Le Monde,Très bien,127 heures,2011-02-23,94,Biopic,américain,De Danny Boyle,"Avec James Franco, Amber Tamblyn, Kate Mara"
Paris Match,Très bien,127 heures,2011-02-23,94,Biopic,américain,De Danny Boyle,"Avec James Franco, Amber Tamblyn, Kate Mara"
Positif,Très bien,127 heures,2011-02-23,94,Biopic,américain,De Danny Boyle,"Avec James Franco, Amber Tamblyn, Kate Mara"
Première,Très bien,127 heures,2011-02-23,94,Biopic,américain,De Danny Boyle,"Avec James Franco, Amber Tamblyn, Kate Mara"
20 Minutes,Pas mal,127 heures,2011-02-23,94,Biopic,américain,De Danny Boyle,"Avec James Franco, Amber Tamblyn, Kate Mara"
Brazil,Pas mal,127 heures,2011-02-23,94,Biopic,américain,De Danny Boyle,"Avec James Franco, Amber Tamblyn, Kate Mara"
Excessif,Pas mal,127 heures,2011-02-23,94,Biopic,américain,De Danny Boyle,"Avec James Franco, Amber Tamblyn, Kate Mara"
L'Express,Pas mal,127 heures,2011-02-23,94,Biopic,américain,De Danny Boyle,"Avec James Franco, Amber Tamblyn, Kate Mara"
L'Humanité,Pas mal,127 heures,2011-02-23,94,Biopic,américain,De Danny Boyle,"Avec James Franco, Amber Tamblyn, Kate Mara"
