paper,rating,title,date,duration,genre,nationality,direction,actors
Cahiers du Cinéma,Très bien,11'09''01 - September 11,1970-01-01,130,Drame,britannique,"De Youssef Chahine, Amos Gitaï, Alejandro González Iñárritu ...","Avec Keren Mor, Liron Levo, Vladimir Vega"
Cine Libre,Très bien,11'09''01 - September 11,1970-01-01,130,Drame,britannique,"De Youssef Chahine, Amos Gitaï, Alejandro González Iñárritu ...","Avec Keren Mor, Liron Levo, Vladimir Vega"
Ciné Live,Très bien,11'09''01 - September 11,1970-01-01,130,Drame,britannique,"De Youssef Chahine, Amos Gitaï, Alejandro González Iñárritu ...","Avec Keren Mor, Liron Levo, Vladimir Vega"
Le Monde,Très bien,11'09''01 - September 11,1970-01-01,130,Drame,britannique,"De Youssef Chahine, Amos Gitaï, Alejandro González Iñárritu ...","Avec Keren Mor, Liron Levo, Vladimir Vega"
Le Nouvel Observateur,Très bien,11'09''01 - September 11,1970-01-01,130,Drame,britannique,"De Youssef Chahine, Amos Gitaï, Alejandro González Iñárritu ...","Avec Keren Mor, Liron Levo, Vladimir Vega"
Les Echos,Très bien,11'09''01 - September 11,1970-01-01,130,Drame,britannique,"De Youssef Chahine, Amos Gitaï, Alejandro González Iñárritu ...","Avec Keren Mor, Liron Levo, Vladimir Vega"
Les Inrockuptibles,Très bien,11'09''01 - September 11,1970-01-01,130,Drame,britannique,"De Youssef Chahine, Amos Gitaï, Alejandro González Iñárritu ...","Avec Keren Mor, Liron Levo, Vladimir Vega"
MCinéma.com,Très bien,11'09''01 - September 11,1970-01-01,130,Drame,britannique,"De Youssef Chahine, Amos Gitaï, Alejandro González Iñárritu ...","Avec Keren Mor, Liron Levo, Vladimir Vega"
Studio Magazine,Très bien,11'09''01 - September 11,1970-01-01,130,Drame,britannique,"De Youssef Chahine, Amos Gitaï, Alejandro González Iñárritu ...","Avec Keren Mor, Liron Levo, Vladimir Vega"
TéléCinéObs,Très bien,11'09''01 - September 11,1970-01-01,130,Drame,britannique,"De Youssef Chahine, Amos Gitaï, Alejandro González Iñárritu ...","Avec Keren Mor, Liron Levo, Vladimir Vega"
Aden,Pas mal,11'09''01 - September 11,1970-01-01,130,Drame,britannique,"De Youssef Chahine, Amos Gitaï, Alejandro González Iñárritu ...","Avec Keren Mor, Liron Levo, Vladimir Vega"
Chronic'art.com,Pas mal,11'09''01 - September 11,1970-01-01,130,Drame,britannique,"De Youssef Chahine, Amos Gitaï, Alejandro González Iñárritu ...","Avec Keren Mor, Liron Levo, Vladimir Vega"
L'Express,Pas mal,11'09''01 - September 11,1970-01-01,130,Drame,britannique,"De Youssef Chahine, Amos Gitaï, Alejandro González Iñárritu ...","Avec Keren Mor, Liron Levo, Vladimir Vega"
L'Humanité,Pas mal,11'09''01 - September 11,1970-01-01,130,Drame,britannique,"De Youssef Chahine, Amos Gitaï, Alejandro González Iñárritu ...","Avec Keren Mor, Liron Levo, Vladimir Vega"
Le Figaro,Pas mal,11'09''01 - September 11,1970-01-01,130,Drame,britannique,"De Youssef Chahine, Amos Gitaï, Alejandro González Iñárritu ...","Avec Keren Mor, Liron Levo, Vladimir Vega"
Libération,Pas mal,11'09''01 - September 11,1970-01-01,130,Drame,britannique,"De Youssef Chahine, Amos Gitaï, Alejandro González Iñárritu ...","Avec Keren Mor, Liron Levo, Vladimir Vega"
Obejctif-Cinema.com,Pas mal,11'09''01 - September 11,1970-01-01,130,Drame,britannique,"De Youssef Chahine, Amos Gitaï, Alejandro González Iñárritu ...","Avec Keren Mor, Liron Levo, Vladimir Vega"
Première,Pas mal,11'09''01 - September 11,1970-01-01,130,Drame,britannique,"De Youssef Chahine, Amos Gitaï, Alejandro González Iñárritu ...","Avec Keren Mor, Liron Levo, Vladimir Vega"
Télérama,Pas mal,11'09''01 - September 11,1970-01-01,130,Drame,britannique,"De Youssef Chahine, Amos Gitaï, Alejandro González Iñárritu ...","Avec Keren Mor, Liron Levo, Vladimir Vega"
Zurban,Pas mal,11'09''01 - September 11,1970-01-01,130,Drame,britannique,"De Youssef Chahine, Amos Gitaï, Alejandro González Iñárritu ...","Avec Keren Mor, Liron Levo, Vladimir Vega"
MCinéma.com,Très bien,19,2003-07-23,83,Policier,japonais,De Kazushi Watanabe,"Avec Kazushi Watanabe, Daijiro Kawaoka, Takeo Noro"
Le Monde,Pas mal,19,2003-07-23,83,Policier,japonais,De Kazushi Watanabe,"Avec Kazushi Watanabe, Daijiro Kawaoka, Takeo Noro"
TéléCinéObs,Pas mal,19,2003-07-23,83,Policier,japonais,De Kazushi Watanabe,"Avec Kazushi Watanabe, Daijiro Kawaoka, Takeo Noro"
Cahiers du Cinéma,Pas terrible,19,2003-07-23,83,Policier,japonais,De Kazushi Watanabe,"Avec Kazushi Watanabe, Daijiro Kawaoka, Takeo Noro"
Ciné Live,Pas terrible,19,2003-07-23,83,Policier,japonais,De Kazushi Watanabe,"Avec Kazushi Watanabe, Daijiro Kawaoka, Takeo Noro"
Première,Pas terrible,19,2003-07-23,83,Policier,japonais,De Kazushi Watanabe,"Avec Kazushi Watanabe, Daijiro Kawaoka, Takeo Noro"
Studio Magazine,Pas terrible,19,2003-07-23,83,Policier,japonais,De Kazushi Watanabe,"Avec Kazushi Watanabe, Daijiro Kawaoka, Takeo Noro"
Télérama,Pas terrible,19,2003-07-23,83,Policier,japonais,De Kazushi Watanabe,"Avec Kazushi Watanabe, Daijiro Kawaoka, Takeo Noro"
Aden,Très bien,24 Hour Party People,2003-04-01,112,Biopic,britannique,De Michael Winterbottom,"Avec Steve Coogan, John Thomson, Andy Serkis"
Le Figaro,Très bien,24 Hour Party People,2003-04-01,112,Biopic,britannique,De Michael Winterbottom,"Avec Steve Coogan, John Thomson, Andy Serkis"
Le Figaroscope,Très bien,24 Hour Party People,2003-04-01,112,Biopic,britannique,De Michael Winterbottom,"Avec Steve Coogan, John Thomson, Andy Serkis"
Les Echos,Très bien,24 Hour Party People,2003-04-01,112,Biopic,britannique,De Michael Winterbottom,"Avec Steve Coogan, John Thomson, Andy Serkis"
Zurban,Très bien,24 Hour Party People,2003-04-01,112,Biopic,britannique,De Michael Winterbottom,"Avec Steve Coogan, John Thomson, Andy Serkis"
Ciné Live,Pas mal,24 Hour Party People,2003-04-01,112,Biopic,britannique,De Michael Winterbottom,"Avec Steve Coogan, John Thomson, Andy Serkis"
L'Express,Pas mal,24 Hour Party People,2003-04-01,112,Biopic,britannique,De Michael Winterbottom,"Avec Steve Coogan, John Thomson, Andy Serkis"
