paper,rating,title,date,duration,genre,nationality,direction,actors
Les Inrockuptibles,Chef-d'oeuvre,1/3 des yeux,2005-11-09,70,Documentaire,français,De Olivier Zabat,NA
Libération,Chef-d'oeuvre,1/3 des yeux,2005-11-09,70,Documentaire,français,De Olivier Zabat,NA
Cahiers du Cinéma,Très bien,1/3 des yeux,2005-11-09,70,Documentaire,français,De Olivier Zabat,NA
Le Monde,Très bien,1/3 des yeux,2005-11-09,70,Documentaire,français,De Olivier Zabat,NA
TéléCinéObs,Très bien,1/3 des yeux,2005-11-09,70,Documentaire,français,De Olivier Zabat,NA
Ciné Live,Pas mal,1/3 des yeux,2005-11-09,70,Documentaire,français,De Olivier Zabat,NA
Zurban,Pas terrible,1/3 des yeux,2005-11-09,70,Documentaire,français,De Olivier Zabat,NA
Aden,Chef-d'oeuvre,2046,2004-10-20,129,Drame,hong-kongais,De Wong Kar-Wai,"Avec Tony Leung Chiu Wai, Gong Li, Takuya Kimura"
Chronic'art.com,Chef-d'oeuvre,2046,2004-10-20,129,Drame,hong-kongais,De Wong Kar-Wai,"Avec Tony Leung Chiu Wai, Gong Li, Takuya Kimura"
L'Express,Chef-d'oeuvre,2046,2004-10-20,129,Drame,hong-kongais,De Wong Kar-Wai,"Avec Tony Leung Chiu Wai, Gong Li, Takuya Kimura"
L'Humanité,Chef-d'oeuvre,2046,2004-10-20,129,Drame,hong-kongais,De Wong Kar-Wai,"Avec Tony Leung Chiu Wai, Gong Li, Takuya Kimura"
L'Humanité,Chef-d'oeuvre,2046,2004-10-20,129,Drame,hong-kongais,De Wong Kar-Wai,"Avec Tony Leung Chiu Wai, Gong Li, Takuya Kimura"
Le Figaro,Chef-d'oeuvre,2046,2004-10-20,129,Drame,hong-kongais,De Wong Kar-Wai,"Avec Tony Leung Chiu Wai, Gong Li, Takuya Kimura"
Le Monde,Chef-d'oeuvre,2046,2004-10-20,129,Drame,hong-kongais,De Wong Kar-Wai,"Avec Tony Leung Chiu Wai, Gong Li, Takuya Kimura"
Le Nouvel Observateur,Chef-d'oeuvre,2046,2004-10-20,129,Drame,hong-kongais,De Wong Kar-Wai,"Avec Tony Leung Chiu Wai, Gong Li, Takuya Kimura"
MCinéma.com,Chef-d'oeuvre,2046,2004-10-20,129,Drame,hong-kongais,De Wong Kar-Wai,"Avec Tony Leung Chiu Wai, Gong Li, Takuya Kimura"
Première,Chef-d'oeuvre,2046,2004-10-20,129,Drame,hong-kongais,De Wong Kar-Wai,"Avec Tony Leung Chiu Wai, Gong Li, Takuya Kimura"
Studio Magazine,Chef-d'oeuvre,2046,2004-10-20,129,Drame,hong-kongais,De Wong Kar-Wai,"Avec Tony Leung Chiu Wai, Gong Li, Takuya Kimura"
Télérama,Chef-d'oeuvre,2046,2004-10-20,129,Drame,hong-kongais,De Wong Kar-Wai,"Avec Tony Leung Chiu Wai, Gong Li, Takuya Kimura"
Télérama,Chef-d'oeuvre,2046,2004-10-20,129,Drame,hong-kongais,De Wong Kar-Wai,"Avec Tony Leung Chiu Wai, Gong Li, Takuya Kimura"
Zurban,Chef-d'oeuvre,2046,2004-10-20,129,Drame,hong-kongais,De Wong Kar-Wai,"Avec Tony Leung Chiu Wai, Gong Li, Takuya Kimura"
Cahiers du Cinéma,Très bien,2046,2004-10-20,129,Drame,hong-kongais,De Wong Kar-Wai,"Avec Tony Leung Chiu Wai, Gong Li, Takuya Kimura"
Cinéastes,Très bien,2046,2004-10-20,129,Drame,hong-kongais,De Wong Kar-Wai,"Avec Tony Leung Chiu Wai, Gong Li, Takuya Kimura"
Elle,Très bien,2046,2004-10-20,129,Drame,hong-kongais,De Wong Kar-Wai,"Avec Tony Leung Chiu Wai, Gong Li, Takuya Kimura"
France Soir,Très bien,2046,2004-10-20,129,Drame,hong-kongais,De Wong Kar-Wai,"Avec Tony Leung Chiu Wai, Gong Li, Takuya Kimura"
L'Ecran Fantastique,Très bien,2046,2004-10-20,129,Drame,hong-kongais,De Wong Kar-Wai,"Avec Tony Leung Chiu Wai, Gong Li, Takuya Kimura"
Le Monde,Très bien,2046,2004-10-20,129,Drame,hong-kongais,De Wong Kar-Wai,"Avec Tony Leung Chiu Wai, Gong Li, Takuya Kimura"
