paper,rating,title,date,duration,genre,nationality,direction,actors
Femme Actuelle,Chef-d'oeuvre,#Jesuislà,2020-02-05,98,Romance,français,De Eric Lartigau,"Avec Alain Chabat, Doona Bae, Blanche Gardin"
20 Minutes,Très bien,#Jesuislà,2020-02-05,98,Romance,français,De Eric Lartigau,"Avec Alain Chabat, Doona Bae, Blanche Gardin"
BIBA,Très bien,#Jesuislà,2020-02-05,98,Romance,français,De Eric Lartigau,"Avec Alain Chabat, Doona Bae, Blanche Gardin"
Le Parisien,Très bien,#Jesuislà,2020-02-05,98,Romance,français,De Eric Lartigau,"Avec Alain Chabat, Doona Bae, Blanche Gardin"
Marianne,Très bien,#Jesuislà,2020-02-05,98,Romance,français,De Eric Lartigau,"Avec Alain Chabat, Doona Bae, Blanche Gardin"
Ouest France,Très bien,#Jesuislà,2020-02-05,98,Romance,français,De Eric Lartigau,"Avec Alain Chabat, Doona Bae, Blanche Gardin"
Positif,Très bien,#Jesuislà,2020-02-05,98,Romance,français,De Eric Lartigau,"Avec Alain Chabat, Doona Bae, Blanche Gardin"
Première,Très bien,#Jesuislà,2020-02-05,98,Romance,français,De Eric Lartigau,"Avec Alain Chabat, Doona Bae, Blanche Gardin"
Transfuge,Très bien,#Jesuislà,2020-02-05,98,Romance,français,De Eric Lartigau,"Avec Alain Chabat, Doona Bae, Blanche Gardin"
Télérama,Très bien,#Jesuislà,2020-02-05,98,Romance,français,De Eric Lartigau,"Avec Alain Chabat, Doona Bae, Blanche Gardin"
Voici,Très bien,#Jesuislà,2020-02-05,98,Romance,français,De Eric Lartigau,"Avec Alain Chabat, Doona Bae, Blanche Gardin"
Bande à part,Pas mal,#Jesuislà,2020-02-05,98,Romance,français,De Eric Lartigau,"Avec Alain Chabat, Doona Bae, Blanche Gardin"
Closer,Pas mal,#Jesuislà,2020-02-05,98,Romance,français,De Eric Lartigau,"Avec Alain Chabat, Doona Bae, Blanche Gardin"
Culturebox - France Télévisions,Pas mal,#Jesuislà,2020-02-05,98,Romance,français,De Eric Lartigau,"Avec Alain Chabat, Doona Bae, Blanche Gardin"
Dernières Nouvelles d'Alsace,Pas mal,#Jesuislà,2020-02-05,98,Romance,français,De Eric Lartigau,"Avec Alain Chabat, Doona Bae, Blanche Gardin"
Ecran Large,Pas mal,#Jesuislà,2020-02-05,98,Romance,français,De Eric Lartigau,"Avec Alain Chabat, Doona Bae, Blanche Gardin"
L'Express,Pas mal,#Jesuislà,2020-02-05,98,Romance,français,De Eric Lartigau,"Avec Alain Chabat, Doona Bae, Blanche Gardin"
Le Journal du Dimanche,Pas mal,#Jesuislà,2020-02-05,98,Romance,français,De Eric Lartigau,"Avec Alain Chabat, Doona Bae, Blanche Gardin"
Le Monde,Pas mal,#Jesuislà,2020-02-05,98,Romance,français,De Eric Lartigau,"Avec Alain Chabat, Doona Bae, Blanche Gardin"
Le Nouvel Observateur,Pas mal,#Jesuislà,2020-02-05,98,Romance,français,De Eric Lartigau,"Avec Alain Chabat, Doona Bae, Blanche Gardin"
Les Fiches du Cinéma,Pas mal,#Jesuislà,2020-02-05,98,Romance,français,De Eric Lartigau,"Avec Alain Chabat, Doona Bae, Blanche Gardin"
Télé 7 Jours,Pas mal,#Jesuislà,2020-02-05,98,Romance,français,De Eric Lartigau,"Avec Alain Chabat, Doona Bae, Blanche Gardin"
Télé Loisirs,Pas mal,#Jesuislà,2020-02-05,98,Romance,français,De Eric Lartigau,"Avec Alain Chabat, Doona Bae, Blanche Gardin"
La Croix,Pas terrible,#Jesuislà,2020-02-05,98,Romance,français,De Eric Lartigau,"Avec Alain Chabat, Doona Bae, Blanche Gardin"
Sud Ouest,Pas terrible,#Jesuislà,2020-02-05,98,Romance,français,De Eric Lartigau,"Avec Alain Chabat, Doona Bae, Blanche Gardin"
aVoir-aLire.com,Pas terrible,#Jesuislà,2020-02-05,98,Romance,français,De Eric Lartigau,"Avec Alain Chabat, Doona Bae, Blanche Gardin"
Le Figaro,Très mauvais,#Jesuislà,2020-02-05,98,Romance,français,De Eric Lartigau,"Avec Alain Chabat, Doona Bae, Blanche Gardin"
Les Inrockuptibles,Très mauvais,#Jesuislà,2020-02-05,98,Romance,français,De Eric Lartigau,"Avec Alain Chabat, Doona Bae, Blanche Gardin"
Marie Claire,Très mauvais,#Jesuislà,2020-02-05,98,Romance,français,De Eric Lartigau,"Avec Alain Chabat, Doona Bae, Blanche Gardin"
Télérama,Très mauvais,#Jesuislà,2020-02-05,98,Romance,français,De Eric Lartigau,"Avec Alain Chabat, Doona Bae, Blanche Gardin"
CNews,Très bien,10 jours sans maman,2020-02-19,98,Comédie,français,De Ludovic Bernard,"Avec Franck Dubosc, Aure Atika, Alexis Michalik"
Femme Actuelle,Très bien,10 jours sans maman,2020-02-19,98,Comédie,français,De Ludovic Bernard,"Avec Franck Dubosc, Aure Atika, Alexis Michalik"
Le Parisien,Pas mal,10 jours sans maman,2020-02-19,98,Comédie,français,De Ludovic Bernard,"Avec Franck Dubosc, Aure Atika, Alexis Michalik"
Voici,Pas mal,10 jours sans maman,2020-02-19,98,Comédie,français,De Ludovic Bernard,"Avec Franck Dubosc, Aure Atika, Alexis Michalik"
Le Journal du Dimanche,Pas terrible,10 jours sans maman,2020-02-19,98,Comédie,français,De Ludovic Bernard,"Avec Franck Dubosc, Aure Atika, Alexis Michalik"
Le Monde,Pas terrible,10 jours sans maman,2020-02-19,98,Comédie,français,De Ludovic Bernard,"Avec Franck Dubosc, Aure Atika, Alexis Michalik"
Les Fiches du Cinéma,Pas terrible,10 jours sans maman,2020-02-19,98,Comédie,français,De Ludovic Bernard,"Avec Franck Dubosc, Aure Atika, Alexis Michalik"
Télé 7 Jours,Pas terrible,10 jours sans maman,2020-02-19,98,Comédie,français,De Ludovic Bernard,"Avec Franck Dubosc, Aure Atika, Alexis Michalik"
Le Nouvel Observateur,Très mauvais,10 jours sans maman,2020-02-19,98,Comédie,français,De Ludovic Bernard,"Avec Franck Dubosc, Aure Atika, Alexis Michalik"
Les Inrockuptibles,Très mauvais,10 jours sans maman,2020-02-19,98,Comédie,français,De Ludovic Bernard,"Avec Franck Dubosc, Aure Atika, Alexis Michalik"
Télérama,Très mauvais,10 jours sans maman,2020-02-19,98,Comédie,français,De Ludovic Bernard,"Avec Franck Dubosc, Aure Atika, Alexis Michalik"
aVoir-aLire.com,Très mauvais,10 jours sans maman,2020-02-19,98,Comédie,français,De Ludovic Bernard,"Avec Franck Dubosc, Aure Atika, Alexis Michalik"
BIBA,Très bien,100 kilos d’étoiles,2019-07-17,88,Comédie,français,De Marie-Sophie Chambon,"Avec Laure Duchêne, Angèle Metzger, Pauline Serieys"
La Croix,Pas mal,100 kilos d’étoiles,2019-07-17,88,Comédie,français,De Marie-Sophie Chambon,"Avec Laure Duchêne, Angèle Metzger, Pauline Serieys"
Le Journal du Dimanche,Pas mal,100 kilos d’étoiles,2019-07-17,88,Comédie,français,De Marie-Sophie Chambon,"Avec Laure Duchêne, Angèle Metzger, Pauline Serieys"
Le Parisien,Pas mal,100 kilos d’étoiles,2019-07-17,88,Comédie,français,De Marie-Sophie Chambon,"Avec Laure Duchêne, Angèle Metzger, Pauline Serieys"
Les Fiches du Cinéma,Pas mal,100 kilos d’étoiles,2019-07-17,88,Comédie,français,De Marie-Sophie Chambon,"Avec Laure Duchêne, Angèle Metzger, Pauline Serieys"
CinemaTeaser,Chef-d'oeuvre,1917,2020-01-15,119,Guerre,britannique,De Sam Mendes,"Avec George MacKay, Dean-Charles Chapman, Mark Strong"
Culturebox - France Télévisions,Chef-d'oeuvre,1917,2020-01-15,119,Guerre,britannique,De Sam Mendes,"Avec George MacKay, Dean-Charles Chapman, Mark Strong"
Culturopoing.com,Chef-d'oeuvre,1917,2020-01-15,119,Guerre,britannique,De Sam Mendes,"Avec George MacKay, Dean-Charles Chapman, Mark Strong"
Dernières Nouvelles d'Alsace,Chef-d'oeuvre,1917,2020-01-15,119,Guerre,britannique,De Sam Mendes,"Avec George MacKay, Dean-Charles Chapman, Mark Strong"
Elle,Chef-d'oeuvre,1917,2020-01-15,119,Guerre,britannique,De Sam Mendes,"Avec George MacKay, Dean-Charles Chapman, Mark Strong"
Filmsactu,Chef-d'oeuvre,1917,2020-01-15,119,Guerre,britannique,De Sam Mendes,"Avec George MacKay, Dean-Charles Chapman, Mark Strong"
L'Express,Chef-d'oeuvre,1917,2020-01-15,119,Guerre,britannique,De Sam Mendes,"Avec George MacKay, Dean-Charles Chapman, Mark Strong"
LCI,Chef-d'oeuvre,1917,2020-01-15,119,Guerre,britannique,De Sam Mendes,"Avec George MacKay, Dean-Charles Chapman, Mark Strong"
La Voix du Nord,Chef-d'oeuvre,1917,2020-01-15,119,Guerre,britannique,De Sam Mendes,"Avec George MacKay, Dean-Charles Chapman, Mark Strong"
Le Journal du Dimanche,Chef-d'oeuvre,1917,2020-01-15,119,Guerre,britannique,De Sam Mendes,"Avec George MacKay, Dean-Charles Chapman, Mark Strong"
Le Nouvel Observateur,Chef-d'oeuvre,1917,2020-01-15,119,Guerre,britannique,De Sam Mendes,"Avec George MacKay, Dean-Charles Chapman, Mark Strong"
Le Parisien,Chef-d'oeuvre,1917,2020-01-15,119,Guerre,britannique,De Sam Mendes,"Avec George MacKay, Dean-Charles Chapman, Mark Strong"
Mad Movies,Chef-d'oeuvre,1917,2020-01-15,119,Guerre,britannique,De Sam Mendes,"Avec George MacKay, Dean-Charles Chapman, Mark Strong"
Ouest France,Chef-d'oeuvre,1917,2020-01-15,119,Guerre,britannique,De Sam Mendes,"Avec George MacKay, Dean-Charles Chapman, Mark Strong"
Positif,Chef-d'oeuvre,1917,2020-01-15,119,Guerre,britannique,De Sam Mendes,"Avec George MacKay, Dean-Charles Chapman, Mark Strong"
Sud Ouest,Chef-d'oeuvre,1917,2020-01-15,119,Guerre,britannique,De Sam Mendes,"Avec George MacKay, Dean-Charles Chapman, Mark Strong"
Télé 7 Jours,Chef-d'oeuvre,1917,2020-01-15,119,Guerre,britannique,De Sam Mendes,"Avec George MacKay, Dean-Charles Chapman, Mark Strong"
Télé Loisirs,Chef-d'oeuvre,1917,2020-01-15,119,Guerre,britannique,De Sam Mendes,"Avec George MacKay, Dean-Charles Chapman, Mark Strong"
Télérama,Chef-d'oeuvre,1917,2020-01-15,119,Guerre,britannique,De Sam Mendes,"Avec George MacKay, Dean-Charles Chapman, Mark Strong"
Voici,Chef-d'oeuvre,1917,2020-01-15,119,Guerre,britannique,De Sam Mendes,"Avec George MacKay, Dean-Charles Chapman, Mark Strong"
aVoir-aLire.com,Chef-d'oeuvre,1917,2020-01-15,119,Guerre,britannique,De Sam Mendes,"Avec George MacKay, Dean-Charles Chapman, Mark Strong"
20 Minutes,Très bien,1917,2020-01-15,119,Guerre,britannique,De Sam Mendes,"Avec George MacKay, Dean-Charles Chapman, Mark Strong"
CNews,Très bien,1917,2020-01-15,119,Guerre,britannique,De Sam Mendes,"Avec George MacKay, Dean-Charles Chapman, Mark Strong"
Ecran Large,Très bien,1917,2020-01-15,119,Guerre,britannique,De Sam Mendes,"Avec George MacKay, Dean-Charles Chapman, Mark Strong"
L'Humanité,Très bien,1917,2020-01-15,119,Guerre,britannique,De Sam Mendes,"Avec George MacKay, Dean-Charles Chapman, Mark Strong"
Le Figaro,Très bien,1917,2020-01-15,119,Guerre,britannique,De Sam Mendes,"Avec George MacKay, Dean-Charles Chapman, Mark Strong"
Le Point,Très bien,1917,2020-01-15,119,Guerre,britannique,De Sam Mendes,"Avec George MacKay, Dean-Charles Chapman, Mark Strong"
Les Fiches du Cinéma,Très bien,1917,2020-01-15,119,Guerre,britannique,De Sam Mendes,"Avec George MacKay, Dean-Charles Chapman, Mark Strong"
Les Inrockuptibles,Très bien,1917,2020-01-15,119,Guerre,britannique,De Sam Mendes,"Avec George MacKay, Dean-Charles Chapman, Mark Strong"
Marianne,Très bien,1917,2020-01-15,119,Guerre,britannique,De Sam Mendes,"Avec George MacKay, Dean-Charles Chapman, Mark Strong"
Première,Très bien,1917,2020-01-15,119,Guerre,britannique,De Sam Mendes,"Avec George MacKay, Dean-Charles Chapman, Mark Strong"
Rolling Stone,Très bien,1917,2020-01-15,119,Guerre,britannique,De Sam Mendes,"Avec George MacKay, Dean-Charles Chapman, Mark Strong"
Bande à part,Pas mal,1917,2020-01-15,119,Guerre,britannique,De Sam Mendes,"Avec George MacKay, Dean-Charles Chapman, Mark Strong"
La Croix,Pas mal,1917,2020-01-15,119,Guerre,britannique,De Sam Mendes,"Avec George MacKay, Dean-Charles Chapman, Mark Strong"
Le Monde,Pas mal,1917,2020-01-15,119,Guerre,britannique,De Sam Mendes,"Avec George MacKay, Dean-Charles Chapman, Mark Strong"
Cahiers du Cinéma,Pas terrible,1917,2020-01-15,119,Guerre,britannique,De Sam Mendes,"Avec George MacKay, Dean-Charles Chapman, Mark Strong"
Critikat.com,Pas terrible,1917,2020-01-15,119,Guerre,britannique,De Sam Mendes,"Avec George MacKay, Dean-Charles Chapman, Mark Strong"
Libération,Pas terrible,1917,2020-01-15,119,Guerre,britannique,De Sam Mendes,"Avec George MacKay, Dean-Charles Chapman, Mark Strong"
Première,Pas terrible,1917,2020-01-15,119,Guerre,britannique,De Sam Mendes,"Avec George MacKay, Dean-Charles Chapman, Mark Strong"
Le Nouvel Observateur,Très mauvais,1917,2020-01-15,119,Guerre,britannique,De Sam Mendes,"Avec George MacKay, Dean-Charles Chapman, Mark Strong"
Ouest France,Chef-d'oeuvre,2040,2020-02-26,93,Documentaire,australien,De Damon Gameau,"Avec Kyan Khojandi, Damon Gameau, Eva Lazzaro"
CNews,Très bien,2040,2020-02-26,93,Documentaire,australien,De Damon Gameau,"Avec Kyan Khojandi, Damon Gameau, Eva Lazzaro"
