paper,rating,title,date,duration,genre,nationality,direction,actors
Closer,Pas mal,# Pire soirée,2017-08-02,101,Comédie,américain,De Lucia Aniello,"Avec Scarlett Johansson, Kate McKinnon, Jillian Bell"
Les Fiches du Cinéma,Pas mal,# Pire soirée,2017-08-02,101,Comédie,américain,De Lucia Aniello,"Avec Scarlett Johansson, Kate McKinnon, Jillian Bell"
Voici,Pas mal,# Pire soirée,2017-08-02,101,Comédie,américain,De Lucia Aniello,"Avec Scarlett Johansson, Kate McKinnon, Jillian Bell"
Le Dauphiné Libéré,Pas terrible,# Pire soirée,2017-08-02,101,Comédie,américain,De Lucia Aniello,"Avec Scarlett Johansson, Kate McKinnon, Jillian Bell"
CinemaTeaser,Très mauvais,# Pire soirée,2017-08-02,101,Comédie,américain,De Lucia Aniello,"Avec Scarlett Johansson, Kate McKinnon, Jillian Bell"
Le Figaro,Très mauvais,# Pire soirée,2017-08-02,101,Comédie,américain,De Lucia Aniello,"Avec Scarlett Johansson, Kate McKinnon, Jillian Bell"
Le Journal du Dimanche,Très mauvais,# Pire soirée,2017-08-02,101,Comédie,américain,De Lucia Aniello,"Avec Scarlett Johansson, Kate McKinnon, Jillian Bell"
Le Monde,Très mauvais,# Pire soirée,2017-08-02,101,Comédie,américain,De Lucia Aniello,"Avec Scarlett Johansson, Kate McKinnon, Jillian Bell"
Le Nouvel Observateur,Très mauvais,# Pire soirée,2017-08-02,101,Comédie,américain,De Lucia Aniello,"Avec Scarlett Johansson, Kate McKinnon, Jillian Bell"
Ouest France,Très mauvais,# Pire soirée,2017-08-02,101,Comédie,américain,De Lucia Aniello,"Avec Scarlett Johansson, Kate McKinnon, Jillian Bell"
Studio Ciné Live,Très mauvais,# Pire soirée,2017-08-02,101,Comédie,américain,De Lucia Aniello,"Avec Scarlett Johansson, Kate McKinnon, Jillian Bell"
aVoir-aLire.com,Très mauvais,# Pire soirée,2017-08-02,101,Comédie,américain,De Lucia Aniello,"Avec Scarlett Johansson, Kate McKinnon, Jillian Bell"
CNews,Très bien,11 fois Fátima,2019-06-12,153,Drame,portugais,De João Canijo,"Avec Cléia Almeida, Vera Barreto Leite, Rita Blanco"
L'Humanité,Très bien,11 fois Fátima,2019-06-12,153,Drame,portugais,De João Canijo,"Avec Cléia Almeida, Vera Barreto Leite, Rita Blanco"
Les Fiches du Cinéma,Très bien,11 fois Fátima,2019-06-12,153,Drame,portugais,De João Canijo,"Avec Cléia Almeida, Vera Barreto Leite, Rita Blanco"
Positif,Très bien,11 fois Fátima,2019-06-12,153,Drame,portugais,De João Canijo,"Avec Cléia Almeida, Vera Barreto Leite, Rita Blanco"
aVoir-aLire.com,Très bien,11 fois Fátima,2019-06-12,153,Drame,portugais,De João Canijo,"Avec Cléia Almeida, Vera Barreto Leite, Rita Blanco"
La Septième Obsession,Pas mal,11 fois Fátima,2019-06-12,153,Drame,portugais,De João Canijo,"Avec Cléia Almeida, Vera Barreto Leite, Rita Blanco"
Le Figaro,Pas mal,11 fois Fátima,2019-06-12,153,Drame,portugais,De João Canijo,"Avec Cléia Almeida, Vera Barreto Leite, Rita Blanco"
Le Monde,Pas mal,11 fois Fátima,2019-06-12,153,Drame,portugais,De João Canijo,"Avec Cléia Almeida, Vera Barreto Leite, Rita Blanco"
Le Nouvel Observateur,Pas mal,11 fois Fátima,2019-06-12,153,Drame,portugais,De João Canijo,"Avec Cléia Almeida, Vera Barreto Leite, Rita Blanco"
Les Inrockuptibles,Pas mal,11 fois Fátima,2019-06-12,153,Drame,portugais,De João Canijo,"Avec Cléia Almeida, Vera Barreto Leite, Rita Blanco"
La Croix,Pas terrible,11 fois Fátima,2019-06-12,153,Drame,portugais,De João Canijo,"Avec Cléia Almeida, Vera Barreto Leite, Rita Blanco"
Le Journal du Dimanche,Pas terrible,11 fois Fátima,2019-06-12,153,Drame,portugais,De João Canijo,"Avec Cléia Almeida, Vera Barreto Leite, Rita Blanco"
Première,Très mauvais,11 fois Fátima,2019-06-12,153,Drame,portugais,De João Canijo,"Avec Cléia Almeida, Vera Barreto Leite, Rita Blanco"
Télérama,Très mauvais,11 fois Fátima,2019-06-12,153,Drame,portugais,De João Canijo,"Avec Cléia Almeida, Vera Barreto Leite, Rita Blanco"
Critikat.com,Chef-d'oeuvre,12 Jours,2017-11-29,86,Documentaire,français,De Raymond Depardon,NA
Femme Actuelle,Chef-d'oeuvre,12 Jours,2017-11-29,86,Documentaire,français,De Raymond Depardon,NA
Marianne,Chef-d'oeuvre,12 Jours,2017-11-29,86,Documentaire,français,De Raymond Depardon,NA
Positif,Chef-d'oeuvre,12 Jours,2017-11-29,86,Documentaire,français,De Raymond Depardon,NA
Première,Chef-d'oeuvre,12 Jours,2017-11-29,86,Documentaire,français,De Raymond Depardon,NA
Transfuge,Chef-d'oeuvre,12 Jours,2017-11-29,86,Documentaire,français,De Raymond Depardon,NA
Cahiers du Cinéma,Très bien,12 Jours,2017-11-29,86,Documentaire,français,De Raymond Depardon,NA
Culturebox - France Télévisions,Très bien,12 Jours,2017-11-29,86,Documentaire,français,De Raymond Depardon,NA
Culturopoing.com,Très bien,12 Jours,2017-11-29,86,Documentaire,français,De Raymond Depardon,NA
Dernières Nouvelles d'Alsace,Très bien,12 Jours,2017-11-29,86,Documentaire,français,De Raymond Depardon,NA
La Croix,Très bien,12 Jours,2017-11-29,86,Documentaire,français,De Raymond Depardon,NA
La Voix du Nord,Très bien,12 Jours,2017-11-29,86,Documentaire,français,De Raymond Depardon,NA
Le Dauphiné Libéré,Très bien,12 Jours,2017-11-29,86,Documentaire,français,De Raymond Depardon,NA
Le Journal du Dimanche,Très bien,12 Jours,2017-11-29,86,Documentaire,français,De Raymond Depardon,NA
Le Monde,Très bien,12 Jours,2017-11-29,86,Documentaire,français,De Raymond Depardon,NA
Le Nouvel Observateur,Très bien,12 Jours,2017-11-29,86,Documentaire,français,De Raymond Depardon,NA
Le Parisien,Très bien,12 Jours,2017-11-29,86,Documentaire,français,De Raymond Depardon,NA
Les Fiches du Cinéma,Très bien,12 Jours,2017-11-29,86,Documentaire,français,De Raymond Depardon,NA
Les Inrockuptibles,Très bien,12 Jours,2017-11-29,86,Documentaire,français,De Raymond Depardon,NA
Studio Ciné Live,Très bien,12 Jours,2017-11-29,86,Documentaire,français,De Raymond Depardon,NA
Télérama,Très bien,12 Jours,2017-11-29,86,Documentaire,français,De Raymond Depardon,NA
aVoir-aLire.com,Très bien,12 Jours,2017-11-29,86,Documentaire,français,De Raymond Depardon,NA
L'Express,Pas mal,12 Jours,2017-11-29,86,Documentaire,français,De Raymond Depardon,NA
Le Figaro,Pas mal,12 Jours,2017-11-29,86,Documentaire,français,De Raymond Depardon,NA
CinemaTeaser,Chef-d'oeuvre,120 battements Par Minute,2017-08-23,143,Drame,français,De Robin Campillo,"Avec Nahuel Perez Biscayart, Arnaud Valois, Adèle Haenel"
Critikat.com,Chef-d'oeuvre,120 battements Par Minute,2017-08-23,143,Drame,français,De Robin Campillo,"Avec Nahuel Perez Biscayart, Arnaud Valois, Adèle Haenel"
Culturopoing.com,Chef-d'oeuvre,120 battements Par Minute,2017-08-23,143,Drame,français,De Robin Campillo,"Avec Nahuel Perez Biscayart, Arnaud Valois, Adèle Haenel"
Femme Actuelle,Chef-d'oeuvre,120 battements Par Minute,2017-08-23,143,Drame,français,De Robin Campillo,"Avec Nahuel Perez Biscayart, Arnaud Valois, Adèle Haenel"
L'Express,Chef-d'oeuvre,120 battements Par Minute,2017-08-23,143,Drame,français,De Robin Campillo,"Avec Nahuel Perez Biscayart, Arnaud Valois, Adèle Haenel"
LCI,Chef-d'oeuvre,120 battements Par Minute,2017-08-23,143,Drame,français,De Robin Campillo,"Avec Nahuel Perez Biscayart, Arnaud Valois, Adèle Haenel"
La Septième Obsession,Chef-d'oeuvre,120 battements Par Minute,2017-08-23,143,Drame,français,De Robin Campillo,"Avec Nahuel Perez Biscayart, Arnaud Valois, Adèle Haenel"
Le Journal du Dimanche,Chef-d'oeuvre,120 battements Par Minute,2017-08-23,143,Drame,français,De Robin Campillo,"Avec Nahuel Perez Biscayart, Arnaud Valois, Adèle Haenel"
Le Nouvel Observateur,Chef-d'oeuvre,120 battements Par Minute,2017-08-23,143,Drame,français,De Robin Campillo,"Avec Nahuel Perez Biscayart, Arnaud Valois, Adèle Haenel"
Les Inrockuptibles,Chef-d'oeuvre,120 battements Par Minute,2017-08-23,143,Drame,français,De Robin Campillo,"Avec Nahuel Perez Biscayart, Arnaud Valois, Adèle Haenel"
Libération,Chef-d'oeuvre,120 battements Par Minute,2017-08-23,143,Drame,français,De Robin Campillo,"Avec Nahuel Perez Biscayart, Arnaud Valois, Adèle Haenel"
Marianne,Chef-d'oeuvre,120 battements Par Minute,2017-08-23,143,Drame,français,De Robin Campillo,"Avec Nahuel Perez Biscayart, Arnaud Valois, Adèle Haenel"
Ouest France,Chef-d'oeuvre,120 battements Par Minute,2017-08-23,143,Drame,français,De Robin Campillo,"Avec Nahuel Perez Biscayart, Arnaud Valois, Adèle Haenel"
Transfuge,Chef-d'oeuvre,120 battements Par Minute,2017-08-23,143,Drame,français,De Robin Campillo,"Avec Nahuel Perez Biscayart, Arnaud Valois, Adèle Haenel"
Télé 2 semaines,Chef-d'oeuvre,120 battements Par Minute,2017-08-23,143,Drame,français,De Robin Campillo,"Avec Nahuel Perez Biscayart, Arnaud Valois, Adèle Haenel"
Télé 7 Jours,Chef-d'oeuvre,120 battements Par Minute,2017-08-23,143,Drame,français,De Robin Campillo,"Avec Nahuel Perez Biscayart, Arnaud Valois, Adèle Haenel"
Télérama,Chef-d'oeuvre,120 battements Par Minute,2017-08-23,143,Drame,français,De Robin Campillo,"Avec Nahuel Perez Biscayart, Arnaud Valois, Adèle Haenel"
Voici,Chef-d'oeuvre,120 battements Par Minute,2017-08-23,143,Drame,français,De Robin Campillo,"Avec Nahuel Perez Biscayart, Arnaud Valois, Adèle Haenel"
Cahiers du Cinéma,Très bien,120 battements Par Minute,2017-08-23,143,Drame,français,De Robin Campillo,"Avec Nahuel Perez Biscayart, Arnaud Valois, Adèle Haenel"
Culturebox - France Télévisions,Très bien,120 battements Par Minute,2017-08-23,143,Drame,français,De Robin Campillo,"Avec Nahuel Perez Biscayart, Arnaud Valois, Adèle Haenel"
Elle,Très bien,120 battements Par Minute,2017-08-23,143,Drame,français,De Robin Campillo,"Avec Nahuel Perez Biscayart, Arnaud Valois, Adèle Haenel"
Le Dauphiné Libéré,Très bien,120 battements Par Minute,2017-08-23,143,Drame,français,De Robin Campillo,"Avec Nahuel Perez Biscayart, Arnaud Valois, Adèle Haenel"
Le Figaro,Très bien,120 battements Par Minute,2017-08-23,143,Drame,français,De Robin Campillo,"Avec Nahuel Perez Biscayart, Arnaud Valois, Adèle Haenel"
Le Monde,Très bien,120 battements Par Minute,2017-08-23,143,Drame,français,De Robin Campillo,"Avec Nahuel Perez Biscayart, Arnaud Valois, Adèle Haenel"
Le Parisien,Très bien,120 battements Par Minute,2017-08-23,143,Drame,français,De Robin Campillo,"Avec Nahuel Perez Biscayart, Arnaud Valois, Adèle Haenel"
Les Fiches du Cinéma,Très bien,120 battements Par Minute,2017-08-23,143,Drame,français,De Robin Campillo,"Avec Nahuel Perez Biscayart, Arnaud Valois, Adèle Haenel"
Paris Match,Très bien,120 battements Par Minute,2017-08-23,143,Drame,français,De Robin Campillo,"Avec Nahuel Perez Biscayart, Arnaud Valois, Adèle Haenel"
Positif,Très bien,120 battements Par Minute,2017-08-23,143,Drame,français,De Robin Campillo,"Avec Nahuel Perez Biscayart, Arnaud Valois, Adèle Haenel"
Première,Très bien,120 battements Par Minute,2017-08-23,143,Drame,français,De Robin Campillo,"Avec Nahuel Perez Biscayart, Arnaud Valois, Adèle Haenel"
aVoir-aLire.com,Très bien,120 battements Par Minute,2017-08-23,143,Drame,français,De Robin Campillo,"Avec Nahuel Perez Biscayart, Arnaud Valois, Adèle Haenel"
La Croix,Pas mal,120 battements Par Minute,2017-08-23,143,Drame,français,De Robin Campillo,"Avec Nahuel Perez Biscayart, Arnaud Valois, Adèle Haenel"
Les Fiches du Cinéma,Pas mal,24H Limit,2018-01-17,97,Thriller,américain,De Brian Smrz,"Avec Ethan Hawke, Paul Anderson, Rutger Hauer"
Le Nouvel Observateur,Très mauvais,24H Limit,2018-01-17,97,Thriller,américain,De Brian Smrz,"Avec Ethan Hawke, Paul Anderson, Rutger Hauer"
Télérama,Très mauvais,24H Limit,2018-01-17,97,Thriller,américain,De Brian Smrz,"Avec Ethan Hawke, Paul Anderson, Rutger Hauer"
aVoir-aLire.com,Très mauvais,24H Limit,2018-01-17,97,Thriller,américain,De Brian Smrz,"Avec Ethan Hawke, Paul Anderson, Rutger Hauer"
Bande à part,Chef-d'oeuvre,"3 Billboards, Les Panneaux de la vengeance",2018-01-17,116,Drame,britannique,De Martin McDonagh,"Avec Frances McDormand, Woody Harrelson, Sam Rockwell"
Culturopoing.com,Chef-d'oeuvre,"3 Billboards, Les Panneaux de la vengeance",2018-01-17,116,Drame,britannique,De Martin McDonagh,"Avec Frances McDormand, Woody Harrelson, Sam Rockwell"
Le Figaro,Chef-d'oeuvre,"3 Billboards, Les Panneaux de la vengeance",2018-01-17,116,Drame,britannique,De Martin McDonagh,"Avec Frances McDormand, Woody Harrelson, Sam Rockwell"
Le Journal du Dimanche,Chef-d'oeuvre,"3 Billboards, Les Panneaux de la vengeance",2018-01-17,116,Drame,britannique,De Martin McDonagh,"Avec Frances McDormand, Woody Harrelson, Sam Rockwell"
Positif,Chef-d'oeuvre,"3 Billboards, Les Panneaux de la vengeance",2018-01-17,116,Drame,britannique,De Martin McDonagh,"Avec Frances McDormand, Woody Harrelson, Sam Rockwell"
Transfuge,Chef-d'oeuvre,"3 Billboards, Les Panneaux de la vengeance",2018-01-17,116,Drame,britannique,De Martin McDonagh,"Avec Frances McDormand, Woody Harrelson, Sam Rockwell"
Télé Loisirs,Chef-d'oeuvre,"3 Billboards, Les Panneaux de la vengeance",2018-01-17,116,Drame,britannique,De Martin McDonagh,"Avec Frances McDormand, Woody Harrelson, Sam Rockwell"
Télérama,Chef-d'oeuvre,"3 Billboards, Les Panneaux de la vengeance",2018-01-17,116,Drame,britannique,De Martin McDonagh,"Avec Frances McDormand, Woody Harrelson, Sam Rockwell"
Voici,Chef-d'oeuvre,"3 Billboards, Les Panneaux de la vengeance",2018-01-17,116,Drame,britannique,De Martin McDonagh,"Avec Frances McDormand, Woody Harrelson, Sam Rockwell"
aVoir-aLire.com,Chef-d'oeuvre,"3 Billboards, Les Panneaux de la vengeance",2018-01-17,116,Drame,britannique,De Martin McDonagh,"Avec Frances McDormand, Woody Harrelson, Sam Rockwell"
20 Minutes,Très bien,"3 Billboards, Les Panneaux de la vengeance",2018-01-17,116,Drame,britannique,De Martin McDonagh,"Avec Frances McDormand, Woody Harrelson, Sam Rockwell"
CNews,Très bien,"3 Billboards, Les Panneaux de la vengeance",2018-01-17,116,Drame,britannique,De Martin McDonagh,"Avec Frances McDormand, Woody Harrelson, Sam Rockwell"
CinemaTeaser,Très bien,"3 Billboards, Les Panneaux de la vengeance",2018-01-17,116,Drame,britannique,De Martin McDonagh,"Avec Frances McDormand, Woody Harrelson, Sam Rockwell"
Ecran Large,Très bien,"3 Billboards, Les Panneaux de la vengeance",2018-01-17,116,Drame,britannique,De Martin McDonagh,"Avec Frances McDormand, Woody Harrelson, Sam Rockwell"
Elle,Très bien,"3 Billboards, Les Panneaux de la vengeance",2018-01-17,116,Drame,britannique,De Martin McDonagh,"Avec Frances McDormand, Woody Harrelson, Sam Rockwell"
Femme Actuelle,Très bien,"3 Billboards, Les Panneaux de la vengeance",2018-01-17,116,Drame,britannique,De Martin McDonagh,"Avec Frances McDormand, Woody Harrelson, Sam Rockwell"
Filmsactu,Très bien,"3 Billboards, Les Panneaux de la vengeance",2018-01-17,116,Drame,britannique,De Martin McDonagh,"Avec Frances McDormand, Woody Harrelson, Sam Rockwell"
