paper,rating,title,date,duration,genre,nationality,direction,actors
Le Parisien,Chef-d'oeuvre,(500) jours ensemble,2009-09-30,96,Romance,américain,De Marc Webb,"Avec Joseph Gordon-Levitt, Zooey Deschanel, Geoffrey Arend"
Metro,Chef-d'oeuvre,(500) jours ensemble,2009-09-30,96,Romance,américain,De Marc Webb,"Avec Joseph Gordon-Levitt, Zooey Deschanel, Geoffrey Arend"
Filmsactu,Très bien,(500) jours ensemble,2009-09-30,96,Romance,américain,De Marc Webb,"Avec Joseph Gordon-Levitt, Zooey Deschanel, Geoffrey Arend"
Le Figaroscope,Très bien,(500) jours ensemble,2009-09-30,96,Romance,américain,De Marc Webb,"Avec Joseph Gordon-Levitt, Zooey Deschanel, Geoffrey Arend"
Le Point,Très bien,(500) jours ensemble,2009-09-30,96,Romance,américain,De Marc Webb,"Avec Joseph Gordon-Levitt, Zooey Deschanel, Geoffrey Arend"
Studio Ciné Live,Très bien,(500) jours ensemble,2009-09-30,96,Romance,américain,De Marc Webb,"Avec Joseph Gordon-Levitt, Zooey Deschanel, Geoffrey Arend"
TéléCinéObs,Très bien,(500) jours ensemble,2009-09-30,96,Romance,américain,De Marc Webb,"Avec Joseph Gordon-Levitt, Zooey Deschanel, Geoffrey Arend"
20 Minutes,Pas mal,(500) jours ensemble,2009-09-30,96,Romance,américain,De Marc Webb,"Avec Joseph Gordon-Levitt, Zooey Deschanel, Geoffrey Arend"
Brazil,Pas mal,(500) jours ensemble,2009-09-30,96,Romance,américain,De Marc Webb,"Avec Joseph Gordon-Levitt, Zooey Deschanel, Geoffrey Arend"
L'Express,Pas mal,(500) jours ensemble,2009-09-30,96,Romance,américain,De Marc Webb,"Avec Joseph Gordon-Levitt, Zooey Deschanel, Geoffrey Arend"
L'Humanité,Pas mal,(500) jours ensemble,2009-09-30,96,Romance,américain,De Marc Webb,"Avec Joseph Gordon-Levitt, Zooey Deschanel, Geoffrey Arend"
La Croix,Pas mal,(500) jours ensemble,2009-09-30,96,Romance,américain,De Marc Webb,"Avec Joseph Gordon-Levitt, Zooey Deschanel, Geoffrey Arend"
Le Monde,Pas mal,(500) jours ensemble,2009-09-30,96,Romance,américain,De Marc Webb,"Avec Joseph Gordon-Levitt, Zooey Deschanel, Geoffrey Arend"
Positif,Pas mal,(500) jours ensemble,2009-09-30,96,Romance,américain,De Marc Webb,"Avec Joseph Gordon-Levitt, Zooey Deschanel, Geoffrey Arend"
Première,Pas mal,(500) jours ensemble,2009-09-30,96,Romance,américain,De Marc Webb,"Avec Joseph Gordon-Levitt, Zooey Deschanel, Geoffrey Arend"
Télérama,Pas mal,(500) jours ensemble,2009-09-30,96,Romance,américain,De Marc Webb,"Avec Joseph Gordon-Levitt, Zooey Deschanel, Geoffrey Arend"
Dvdrama,Très mauvais,(500) jours ensemble,2009-09-30,96,Romance,américain,De Marc Webb,"Avec Joseph Gordon-Levitt, Zooey Deschanel, Geoffrey Arend"
Le Journal du Dimanche,Très mauvais,(500) jours ensemble,2009-09-30,96,Romance,américain,De Marc Webb,"Avec Joseph Gordon-Levitt, Zooey Deschanel, Geoffrey Arend"
Première,Très bien,12 Rounds,2009-08-26,108,Policier,américain,De Renny Harlin,"Avec John Cena, Aidan Gillen, Ashley Scott"
Dvdrama,Pas mal,12 Rounds,2009-08-26,108,Policier,américain,De Renny Harlin,"Avec John Cena, Aidan Gillen, Ashley Scott"
Filmsactu,Pas terrible,12 Rounds,2009-08-26,108,Policier,américain,De Renny Harlin,"Avec John Cena, Aidan Gillen, Ashley Scott"
L'Express,Pas terrible,12 Rounds,2009-08-26,108,Policier,américain,De Renny Harlin,"Avec John Cena, Aidan Gillen, Ashley Scott"
Studio Ciné Live,Pas terrible,12 Rounds,2009-08-26,108,Policier,américain,De Renny Harlin,"Avec John Cena, Aidan Gillen, Ashley Scott"
Télé 7 Jours,Pas terrible,12 Rounds,2009-08-26,108,Policier,américain,De Renny Harlin,"Avec John Cena, Aidan Gillen, Ashley Scott"
Chronic'art.com,Très mauvais,12 Rounds,2009-08-26,108,Policier,américain,De Renny Harlin,"Avec John Cena, Aidan Gillen, Ashley Scott"
Les Inrockuptibles,Très mauvais,12 Rounds,2009-08-26,108,Policier,américain,De Renny Harlin,"Avec John Cena, Aidan Gillen, Ashley Scott"
Elle,Très bien,17 ans encore,2009-04-22,100,Romance,américain,De Burr Steers,"Avec Zac Efron, Matthew Perry, Leslie Mann"
Dvdrama,Pas mal,17 ans encore,2009-04-22,100,Romance,américain,De Burr Steers,"Avec Zac Efron, Matthew Perry, Leslie Mann"
Le Figaroscope,Pas mal,17 ans encore,2009-04-22,100,Romance,américain,De Burr Steers,"Avec Zac Efron, Matthew Perry, Leslie Mann"
Le Figaroscope,Pas mal,17 ans encore,2009-04-22,100,Romance,américain,De Burr Steers,"Avec Zac Efron, Matthew Perry, Leslie Mann"
Le Journal du Dimanche,Pas mal,17 ans encore,2009-04-22,100,Romance,américain,De Burr Steers,"Avec Zac Efron, Matthew Perry, Leslie Mann"
Metro,Pas mal,17 ans encore,2009-04-22,100,Romance,américain,De Burr Steers,"Avec Zac Efron, Matthew Perry, Leslie Mann"
Première,Pas mal,17 ans encore,2009-04-22,100,Romance,américain,De Burr Steers,"Avec Zac Efron, Matthew Perry, Leslie Mann"
Studio Ciné Live,Pas mal,17 ans encore,2009-04-22,100,Romance,américain,De Burr Steers,"Avec Zac Efron, Matthew Perry, Leslie Mann"
20 Minutes,Pas terrible,17 ans encore,2009-04-22,100,Romance,américain,De Burr Steers,"Avec Zac Efron, Matthew Perry, Leslie Mann"
Le Monde,Pas terrible,17 ans encore,2009-04-22,100,Romance,américain,De Burr Steers,"Avec Zac Efron, Matthew Perry, Leslie Mann"
Le Parisien,Pas terrible,17 ans encore,2009-04-22,100,Romance,américain,De Burr Steers,"Avec Zac Efron, Matthew Perry, Leslie Mann"
Les Inrockuptibles,Pas terrible,17 ans encore,2009-04-22,100,Romance,américain,De Burr Steers,"Avec Zac Efron, Matthew Perry, Leslie Mann"
TéléCinéObs,Pas terrible,17 ans encore,2009-04-22,100,Romance,américain,De Burr Steers,"Avec Zac Efron, Matthew Perry, Leslie Mann"
Télérama,Pas terrible,17 ans encore,2009-04-22,100,Romance,américain,De Burr Steers,"Avec Zac Efron, Matthew Perry, Leslie Mann"
Filmsactu,Très mauvais,17 ans encore,2009-04-22,100,Romance,américain,De Burr Steers,"Avec Zac Efron, Matthew Perry, Leslie Mann"
L'Express,Très mauvais,17 ans encore,2009-04-22,100,Romance,américain,De Burr Steers,"Avec Zac Efron, Matthew Perry, Leslie Mann"
Filmsactu,Chef-d'oeuvre,2012,2009-11-11,158,Science fiction,américain,De Roland Emmerich,"Avec John Cusack, Chiwetel Ejiofor, Amanda Peet"
L'Ecran Fantastique,Chef-d'oeuvre,2012,2009-11-11,158,Science fiction,américain,De Roland Emmerich,"Avec John Cusack, Chiwetel Ejiofor, Amanda Peet"
Le Journal du Dimanche,Chef-d'oeuvre,2012,2009-11-11,158,Science fiction,américain,De Roland Emmerich,"Avec John Cusack, Chiwetel Ejiofor, Amanda Peet"
20 Minutes,Très bien,2012,2009-11-11,158,Science fiction,américain,De Roland Emmerich,"Avec John Cusack, Chiwetel Ejiofor, Amanda Peet"
Chronic'art.com,Très bien,2012,2009-11-11,158,Science fiction,américain,De Roland Emmerich,"Avec John Cusack, Chiwetel Ejiofor, Amanda Peet"
L'Express,Très bien,2012,2009-11-11,158,Science fiction,américain,De Roland Emmerich,"Avec John Cusack, Chiwetel Ejiofor, Amanda Peet"
Le Figaroscope,Très bien,2012,2009-11-11,158,Science fiction,américain,De Roland Emmerich,"Avec John Cusack, Chiwetel Ejiofor, Amanda Peet"
Le Parisien,Très bien,2012,2009-11-11,158,Science fiction,américain,De Roland Emmerich,"Avec John Cusack, Chiwetel Ejiofor, Amanda Peet"
Marianne,Très bien,2012,2009-11-11,158,Science fiction,américain,De Roland Emmerich,"Avec John Cusack, Chiwetel Ejiofor, Amanda Peet"
Metro,Très bien,2012,2009-11-11,158,Science fiction,américain,De Roland Emmerich,"Avec John Cusack, Chiwetel Ejiofor, Amanda Peet"
Paris Match,Très bien,2012,2009-11-11,158,Science fiction,américain,De Roland Emmerich,"Avec John Cusack, Chiwetel Ejiofor, Amanda Peet"
Studio Ciné Live,Très bien,2012,2009-11-11,158,Science fiction,américain,De Roland Emmerich,"Avec John Cusack, Chiwetel Ejiofor, Amanda Peet"
Dvdrama,Pas mal,2012,2009-11-11,158,Science fiction,américain,De Roland Emmerich,"Avec John Cusack, Chiwetel Ejiofor, Amanda Peet"
Le Monde,Pas mal,2012,2009-11-11,158,Science fiction,américain,De Roland Emmerich,"Avec John Cusack, Chiwetel Ejiofor, Amanda Peet"
Les Inrockuptibles,Pas mal,2012,2009-11-11,158,Science fiction,américain,De Roland Emmerich,"Avec John Cusack, Chiwetel Ejiofor, Amanda Peet"
